,time,asv_1,asv_2,asv_3,asv_4,asv_5,asv_6
233,0.0,"(63.32829056391653, 10.082875182371133)","(63.329329145413176, 10.082738245458097)","(63.32882952621582, 10.08534825920085)","(63.33059156242179, 10.087811309269151)","(63.33292865726811, 10.082648864042056)","(63.332439637789975, 10.080210260173015)"
234,0.09120607376098633,"(63.32829199631102, 10.082875755328928)","(63.3293299093569, 10.082738245458097)","(63.32883105410327, 10.085348163707886)","(63.33059156242179, 10.087807967015346)","(63.33292732036659, 10.082647145168671)","(63.33243820539549, 10.080211501581571)"
235,0.13034701347351074,"(63.32829342870551, 10.082876328286723)","(63.329330673300625, 10.082738245458097)","(63.328832581990724, 10.08534806821492)","(63.33059156242179, 10.087804624761542)","(63.332925983465074, 10.082645426295286)","(63.33243686849397, 10.080212742990128)"
236,0.41033506393432617,"(63.32829486109999, 10.082876901244518)","(63.329331437244356, 10.082738245458097)","(63.32883410987818, 10.085347972721953)","(63.33059156242179, 10.087801282507737)","(63.33292464656355, 10.082643707421902)","(63.332435531592445, 10.080213984398684)"
237,0.5176010131835938,"(63.32829629349448, 10.082877474202315)","(63.32933220118808, 10.082738245458097)","(63.328835637765636, 10.085347877228987)","(63.33059156242179, 10.087797940253932)","(63.33292340515499, 10.082641988548517)","(63.33243419469092, 10.08021522580724)"
238,0.8242778778076172,"(63.32829772588897, 10.08287804716011)","(63.32933286963884, 10.082738245458097)","(63.328837165653084, 10.085347781736022)","(63.33059156242179, 10.087794598000126)","(63.33292216374644, 10.08264026967513)","(63.3324328577894, 10.080216467215795)"
239,1.0001020431518555,"(63.32829915828346, 10.082878620117905)","(63.32933353808961, 10.082738245458097)","(63.32883869354054, 10.085347686243056)","(63.33059146692882, 10.087791255746321)","(63.332920922337884, 10.082638550801745)","(63.33243152088788, 10.080217708624351)"
240,1.091209888458252,"(63.32830068617091, 10.082879097582733)","(63.329334206540366, 10.082738245458097)","(63.328840221427996, 10.08534759075009)","(63.33059137143585, 10.087787913492518)","(63.33291968092933, 10.08263683192836)","(63.332430183986354, 10.080218950032908)"
241,1.1302978992462158,"(63.32830221405837, 10.082879575047563)","(63.329334874991126, 10.082738245458097)","(63.32884174931545, 10.085347495257123)","(63.33059127594288, 10.087784571238712)","(63.332918439520775, 10.082635113054973)","(63.33242875159186, 10.080220095948498)"
242,1.4103710651397705,"(63.32830374194582, 10.082880052512392)","(63.32933554344189, 10.082738245458097)","(63.32884318170994, 10.085347304271192)","(63.330591180449915, 10.087781228984907)","(63.33291719811222, 10.082633394181588)","(63.33242731919738, 10.080221241864088)"
243,1.5175929069519043,"(63.32830526983327, 10.08288052997722)","(63.32933621189265, 10.082738245458097)","(63.328844614104426, 10.085347113285259)","(63.33059108495695, 10.087777886731104)","(63.3329158612107, 10.082631675308203)","(63.332425886802895, 10.080222387779678)"
244,1.8245160579681396,"(63.32830679772073, 10.082881007442051)","(63.32933697583638, 10.082738245458097)","(63.32884604649892, 10.085346922299328)","(63.33059098946398, 10.087774544477298)","(63.332914524309174, 10.082629956434818)","(63.332424454408404, 10.08022353369527)"
245,1.99971604347229,"(63.328308325608184, 10.08288148490688)","(63.3293377397801, 10.082738245458097)","(63.32884747889341, 10.085346731313397)","(63.33059098946398, 10.087771106730528)","(63.332913187407655, 10.082628237561433)","(63.33242302201391, 10.08022467961086)"
246,2.091304063796997,"(63.328309758002675, 10.082882057864675)","(63.32933850372383, 10.082738245458097)","(63.32884891128789, 10.085346540327464)","(63.33059098946398, 10.087767668983757)","(63.332911850506136, 10.082626518688047)","(63.33242158961943, 10.08022582552645)"
