,time,lat_1,lon_1,cog_1,sog_1,lat_2,lon_2,cog_2,sog_2
26,0.0,63.32941528006838,10.079843662677098,-0.000977,1.006982,63.33055088241832,10.08214609357683,-1.5651380000000001,1.0145665
27,0.4003779888153076,63.32941957725184,10.079843662677098,-0.000954,1.006865,63.33055088241832,10.082136066815416,-1.565161,1.014316
28,1.0004630088806152,63.32942387443531,10.079843662677098,-0.000931,1.006748,63.33055088241832,10.082125753575102,-1.565207,1.0140755000000001
29,1.4001920223236084,63.32942845809767,10.0798433761982,-0.0009205,1.006634,63.33055088241832,10.08211544033479,-1.565253,1.013835
30,2.0010628700256348,63.329433041760026,10.079843089719303,-0.00091,1.00652,63.33055088241832,10.082105413573377,-1.565268,1.0135969999999999
31,2.3992488384246826,63.329437625422386,10.079843089719303,-0.0009209999999999999,1.0064095000000002,63.33055088241832,10.082095386811961,-1.565283,1.013359
32,3.000229835510254,63.32944220908474,10.079843089719303,-0.000932,1.006299,63.33055088241832,10.082085360050545,-1.565309,1.0131394999999999
33,3.3995590209960938,63.329446792747106,10.079843089719303,-0.0009475,1.0061944999999999,63.33055088241832,10.082075333289131,-1.565335,1.01292
34,4.000276803970337,63.32945137640947,10.079843089719303,-0.000963,1.00609,63.33055088241832,10.08206502004882,-1.5653044999999999,1.012704
35,4.3992018699646,63.32945567359293,10.079843089719303,-0.0009885,1.0059885,63.33055088241832,10.082054706808508,-1.565274,1.012488
36,5.001124858856201,63.3294599707764,10.079843089719303,-0.001014,1.005887,63.33055088241832,10.082044680047092,-1.565266,1.0122805000000001
37,5.3990209102630615,63.32946455443876,10.079843089719303,-0.0010295,1.0057885,63.33055088241832,10.082034653285676,-1.565258,1.012073
38,6.00011682510376,63.32946913810111,10.079843089719303,-0.001045,1.00569,63.33055088241832,10.082024626524262,-1.5652325,1.0118675000000001
39,6.399596929550171,63.32947372176348,10.079843089719303,-0.0010295,1.0055935,63.33055088241832,10.082014599762847,-1.565207,1.011662
40,7.000118970870972,63.329478305425845,10.079843089719303,-0.001014,1.005497,63.33055088241832,10.082004573001432,-1.5651785,1.011466
41,7.4001829624176025,63.3294828890882,10.079843089719303,-0.0009785,1.0054065,63.33055088241832,10.081994546240018,-1.56515,1.01127
42,8.00039291381836,63.32948747275056,10.079843089719303,-0.000943,1.005316,63.330551168897216,10.081984232999705,-1.5651325,1.011078
43,8.400231838226318,63.32949176993402,10.079843089719303,-0.0009105000000000001,1.0052245000000002,63.33055145537612,10.081973919759394,-1.565115,1.010886
44,9.000022888183594,63.32949606711749,10.079843089719303,-0.000878,1.005133,63.33055145537612,10.08196389299798,-1.5651169999999999,1.010705
45,9.398979902267456,63.32950065077985,10.079843089719303,-0.0008495,1.0050485,63.33055145537612,10.081953866236564,-1.565119,1.010524
46,10.000311851501465,63.329505234442216,10.079843089719303,-0.000821,1.004964,63.33055145537612,10.081943839475148,-1.5651614999999999,1.0103499999999999
47,10.39896297454834,63.329509818104576,10.079843089719303,-0.0008345,1.0048795,63.33055145537612,10.081933812713734,-1.565204,1.010176
48,10.999982833862305,63.329514401766936,10.079843089719303,-0.000848,1.004795,63.33055145537612,10.08192378595232,-1.5652255,1.010003
49,11.39879298210144,63.32951898542929,10.079843089719303,-0.000827,1.004715,63.33055145537612,10.081913759190904,-1.565247,1.00983
50,11.999989986419678,63.32952356909165,10.079843089719303,-0.000806,1.004635,63.33055145537612,10.081903732429488,-1.5652620000000002,1.009665
51,12.399068832397461,63.329527866275114,10.079843089719303,-0.000763,1.004557,63.33055145537612,10.081893705668074,-1.565277,1.0095
52,13.001104831695557,63.32953216345857,10.079843089719303,-0.00072,1.004479,63.33055145537612,10.081883392427763,-1.565291,1.009339
53,13.398957967758179,63.32953674712094,10.079843089719303,-0.000705,1.004403,63.33055145537612,10.08187307918745,-1.565305,1.009178
54,14.000103950500488,63.32954133078331,10.079843089719303,-0.00069,1.004327,63.33055145537612,10.081863052426035,-1.5652705,1.0090235
55,14.39896297454834,63.32954591444567,10.079843089719303,-0.0007279999999999999,1.0042555,63.33055145537612,10.081853025664621,-1.565236,1.008869
56,15.000072956085205,63.32955049810803,10.079843089719303,-0.000766,1.004184,63.33055145537612,10.081842998903205,-1.5651985000000002,1.0087220000000001
57,15.400035858154297,63.329555081770394,10.079843089719303,-0.0007725,1.0041125,63.33055145537612,10.081832972141791,-1.565161,1.008575
58,16.00002694129944,63.329559665432754,10.079843089719303,-0.000779,1.004041,63.33055145537612,10.081822945380377,-1.565131,1.0084309999999999
59,16.39895987510681,63.32956396261622,10.079843089719303,-0.0007825,1.003975,63.33055145537612,10.081812918618962,-1.565101,1.008287
60,17.00005292892456,63.32956825979968,10.079843089719303,-0.000786,1.003909,63.33055145537612,10.081802891857546,-1.565082,1.0081475
61,17.399438858032227,63.32957284346204,10.079843089719303,-0.000802,1.0038434999999999,63.33055145537612,10.081792865096132,-1.565063,1.008008
62,18.00000500679016,63.3295774271244,10.079843089719303,-0.000818,1.003778,63.33055145537612,10.081782838334718,-1.5650525000000002,1.0078719999999999
63,18.39946699142456,63.32958201078675,10.079843089719303,-0.0007930000000000001,1.003714,63.33055145537612,10.081772811573302,-1.565042,1.007736
64,19.00008487701416,63.32958659444911,10.079843089719303,-0.000768,1.00365,63.33055145537612,10.081762784811888,-1.5650585000000001,1.0076075
65,19.40023684501648,63.32959089163258,10.079843089719303,-0.000763,1.003588,63.33055145537612,10.081752758050474,-1.565075,1.007479
