,time,lat_1,lon_1,cog_1,sog_1,lat_2,lon_2,cog_2,sog_2
19,0.0,63.32940897753264,10.079899239583224,0.182224,1.010987,63.33049702438558,10.079920725500541,-0.0422545,0.507338
20,0.48349905014038086,63.329413561195,10.079900958456609,0.1798385,1.0108845,63.33049931621676,10.079920439021643,-0.054042,0.532276
21,0.9994339942932129,63.32941814485735,10.079902677329995,0.177453,1.010782,63.33050189452684,10.079920152542746,-0.0616685,0.5363100000000001
22,1.48329496383667,63.32942272851971,10.07990468268228,0.175778,1.010627,63.33050447283692,10.079919866063848,-0.069295,0.540344
23,1.9994828701019287,63.32942731218207,10.079906688034562,0.174103,1.010472,63.3305067646681,10.079919579584951,-0.0738085,0.540857
24,2.482900857925415,63.32943160936553,10.079908406907947,0.173006,1.0103105000000001,63.33050905649928,10.079919293106054,-0.078322,0.54137
25,2.9994399547576904,63.329435906548994,10.079910125781332,0.171909,1.010149,63.33051163480936,10.079918720148259,-0.080902,0.5777909999999999
26,3.4828648567199707,63.329440490211354,10.079911844654717,0.171197,1.009979,63.33051421311944,10.079918147190464,-0.083482,0.614212
27,3.9994330406188965,63.32944507387372,10.079913563528104,0.170485,1.009809,63.33051621847173,10.079917860711566,-0.095579,0.511047
28,4.482903957366943,63.32944937105719,10.079915282401489,0.1698825,1.0096479999999999,63.33051822382401,10.079917574232669,-0.107676,0.407882
29,4.999433994293213,63.32945366824065,10.079917001274874,0.16928,1.009487,63.33051994269739,10.079917001274874,-0.126585,0.3977655
30,5.483196020126343,63.329458251903006,10.079918433669361,0.1688015,1.0093320000000001,63.33052166157077,10.079916428317079,-0.145494,0.387649
31,5.99943208694458,63.329462835565366,10.079919866063848,0.168323,1.009177,63.33052366692306,10.079915568880384,-0.1608075,0.45771850000000003
32,6.482763051986694,63.32946713274883,10.079921584937235,0.1680245,1.0090245,63.330525672275336,10.079914709443692,-0.176121,0.527788
33,6.999706029891968,63.32947142993229,10.07992330381062,0.167726,1.008872,63.33052767762762,10.079913850007,-0.19210549999999998,0.478939
34,7.482913017272949,63.32947601359466,10.079925022684005,0.167542,1.0087225,63.33052968297991,10.079912990570309,-0.20809,0.43009
35,7.999446868896484,63.329480597257024,10.07992674155739,0.167358,1.008573,63.33053140185329,10.079912131133614,-0.228539,0.4082675
36,8.482878923416138,63.32948518091938,10.079928460430775,0.16721049999999998,1.0084274999999998,63.33053312072668,10.079911271696922,-0.248988,0.386445
37,8.99942398071289,63.32948976458174,10.07993017930416,0.167063,1.008282,63.33053541255786,10.079910125781332,-0.2657085,0.45884800000000003
38,9.48415994644165,63.3294940617652,10.079931898177547,0.1668005,1.008144,63.33053770438904,10.07990897986574,-0.282429,0.531251
39,9.999433994293213,63.32949835894867,10.079933617050933,0.166538,1.008006,63.33053999622022,10.079907260992355,-0.29202649999999997,0.5379845000000001
40,10.483800888061523,63.32950294261103,10.079935335924318,0.1662525,1.0078715,63.3305422880514,10.07990554211897,-0.301624,0.544718
41,10.9995698928833,63.329507526273396,10.079937054797703,0.165967,1.007737,63.33054457988258,10.079903823245585,-0.306601,0.53093
42,11.483412027359009,63.329511823456855,10.07993848719219,0.1657225,1.007608,63.33054687171376,10.0799021043722,-0.311578,0.517142
43,11.999829053878784,63.32951612064032,10.07993991958668,0.165478,1.007479,63.33054916354494,10.079900671977711,-0.30880050000000003,0.5260294999999999
44,12.482899904251099,63.32952070430268,10.079941638460065,0.16530299999999998,1.0073560000000001,63.33055145537612,10.079899239583224,-0.306023,0.534917
45,12.999460935592651,63.32952528796504,10.07994335733345,0.165128,1.007233,63.330553747207304,10.079897520709839,-0.30067849999999996,0.5373829999999999
46,13.482954978942871,63.32952958514851,10.079945076206835,0.1647335,1.007104,63.330556039038484,10.079895801836454,-0.295334,0.539849
47,14.000021934509277,63.329533882331965,10.07994679508022,0.164339,1.006975,63.330558330869664,10.079894369441966,-0.2907615,0.5408415
48,14.485785961151123,63.32953846599433,10.079948513953607,0.1638685,1.0068595,63.330560622700844,10.079892937047477,-0.286189,0.541834
49,14.99943494796753,63.32954304965669,10.079950232826992,0.163398,1.006744,63.330562914532024,10.07989150465299,-0.283011,0.541664
50,15.482900857925415,63.32954734684016,10.07995166522148,0.162992,1.006634,63.330565206363204,10.079890072258502,-0.279833,0.541494
51,15.999489068984985,63.32955164402362,10.079953097615967,0.162586,1.006524,63.330567498194384,10.079888353385117,-0.2778225,0.5409495
52,16.485002040863037,63.32955622768598,10.079954816489352,0.16229949999999999,1.0064175,63.330569790025564,10.079886634511732,-0.275812,0.540405
53,16.99943494796753,63.32956081134834,10.079956535362737,0.162013,1.006311,63.330572081856744,10.079885202117243,-0.274578,0.5397825
54,17.483711004257202,63.329565395010704,10.079958254236121,0.161716,1.0062015,63.330574373687924,10.079883769722755,-0.273344,0.53916
55,17.9998300075531,63.329569978673064,10.079959973109508,0.161419,1.006092,63.330576665519104,10.079882337328268,-0.272618,0.538457
56,18.482887983322144,63.32957427585653,10.079961405503996,0.161135,1.005992,63.33057895735029,10.07988090493378,-0.271892,0.537754
57,18.999985933303833,63.329578573039996,10.079962837898483,0.160851,1.005892,63.33058153566037,10.079879472539293,-0.271469,0.537183
58,19.482961893081665,63.329583156702355,10.07996455677187,0.1606305,1.0057915,63.330584113970446,10.079878040144804,-0.271046,0.536612
59,19.999908924102783,63.32958774036471,10.079966275645255,0.16041,1.005691,63.330586405801625,10.079876607750316,-0.2702145,0.5356084999999999
