,time,cog_1,sog_1,cog_2,sog_2,x_1,y_1,x_2,y_2
24,0.0,0.118097,1.008916,-1.3949725000000002,1.02606,-131.41838719729958,-16.169076482337413,-3.3354789637063025,100.41454261116702
25,0.7230520248413086,0.1281085,1.0099965,-1.395153,1.025611,-130.90746061274857,-16.097315052427184,-3.239680229634773,99.91221260155642
26,1.0000720024108887,0.13812,1.011077,-1.3955009999999999,1.025182,-130.39653402677942,-16.025553622357613,-3.1438814955632433,99.4098825919458
27,1.7232270240783691,0.14462599999999998,1.011409,-1.395849,1.024753,-129.91754035358557,-15.953792192527056,-3.0480827600736076,98.90755258225552
28,2.0000228881835938,0.151132,1.011741,-1.3961545,1.024338,-129.43854668039168,-15.882030762616827,-2.9842169373592546,98.39087028658318
29,2.7231879234313965,0.15516249999999998,1.0117135,-1.39646,1.023923,-128.92762009584067,-15.810269332706598,-2.9203511146449017,97.87418799107019
30,3.00081205368042,0.159193,1.011686,-1.396662,1.023531,-128.41669351128962,-15.738507902637027,-2.8245523805733725,97.3718579813799
31,3.723215103149414,0.161663,1.011551,-1.396864,1.023139,-127.9057669267386,-15.65239418666508,-2.728753645083737,96.86952797168962
32,3.9999940395355225,0.164133,1.011416,-1.397189,1.0227415,-127.39484034076945,-15.566280470772806,-2.6329549110122072,96.367197962079
33,4.723382949829102,0.165656,1.0112505,-1.397514,1.022344,-126.91584666757558,-15.48016675480086,-2.5371561755225716,95.86486795246839
34,5.000406980514526,0.167179,1.011085,-1.3978679999999999,1.021973,-126.43685299438172,-15.394053038908586,-2.441357440032936,95.36253794285777
35,5.723258018493652,0.1688225,0.986059,-1.398222,1.021602,-125.9259264098307,-15.307939323016312,-2.3455587059614067,94.86020793316749
36,6.0001139640808105,0.170466,0.961033,-1.398567,1.0212395,-125.41499982527965,-15.221825606964694,-2.2816928832470533,94.3578779234772
37,6.72347092628479,0.1797775,0.9831575,-1.398912,1.020877,-124.9360061520858,-15.13571189107242,-2.2178270605327004,93.85554791386659
38,7.001797914505005,0.189089,1.005282,-1.3991715,1.024114,-124.45701247889194,-15.049598175180146,-2.1220283250430647,93.35321790425597
39,7.723176956176758,0.199348,1.0071245,-1.399431,1.027351,-123.9460858929228,-14.949132173226154,-2.0262295909715355,92.85088789472503
40,8.00002908706665,0.209607,1.008967,-1.3938295,1.020258,-123.43515930837175,-14.848666171351834,-1.9304308554818999,92.34855788503475
41,8.72322702407837,0.2176925,1.0096245,-1.388228,1.013165,-122.9561656351779,-14.748200169397842,-1.8346321214103702,91.84622787534445
42,9.001887083053589,0.225778,1.010282,-1.3782675,1.0142600000000002,-122.47717196198404,-14.64773416744385,-1.7388333873388409,91.3582501517159
43,9.723241090774536,0.2312055,0.9927294999999999,-1.368307,1.015355,-121.966245377433,-14.518563593605439,-1.6430346518492052,90.87027242808732
44,10.000030994415283,0.236633,0.975177,-1.3596884999999999,1.0160770000000001,-121.45531879288197,-14.389393019687358,-1.5472359177776758,90.3679424184767
45,10.723337888717651,0.224835,0.9727619999999999,-1.35107,1.016799,-121.04019094240246,-14.288927017733366,-1.4514371837061464,89.86561240878642
46,11.000710010528564,0.213037,0.970347,-1.344837,1.0169475000000001,-120.62506309192295,-14.188461015779374,-1.3237055368593342,89.37763468515784
47,11.723231077194214,0.19387100000000002,0.974772,-1.338604,1.017096,-120.14606941872908,-14.102347299807429,-1.1959738914306282,88.88965696160895
48,12.000128030776978,0.174705,0.979197,-1.334397,1.0170055,-119.66707574553523,-14.016233583915154,-1.068242244583816,88.38732695191867
49,12.723422050476074,0.154032,0.979703,-1.33019,1.016915,-119.1561491609842,-13.93011986802288,-0.940510597737004,87.88499694222838
50,13.00034499168396,0.133359,0.980209,-1.3274605,1.016711,-118.64522257643316,-13.844006152050934,-0.8447118636654745,87.39701921859981
51,13.723320960998535,0.1127425,0.9891274999999999,-1.324731,1.016507,-118.1662289032393,-13.800949294104797,-0.7489131295939451,86.90904149497125
