,time,cog_1,sog_1,cog_2,sog_2,cog_3,sog_3,x_1,y_1,x_2,y_2,x_3,y_3
43,0.0,0.006451,1.009567,2.014189,0.9847486666666666,-0.564936,1.0062133333333332,-132.2486428968405,-16.484826774101762,-14.309756233912982,-142.02905642059005,-91.73642244114609,38.70449695119181
44,0.24382305145263672,0.0064470000000000005,1.009462,2.000486,0.9849763333333333,-0.564934,1.006139,-131.90802517380646,-16.484826774101762,-14.458776488803947,-141.73244251005542,-91.43838193420036,38.51313313801819
45,0.5274829864501953,0.006443,1.009357,1.986783,0.985204,-0.564934,1.0060689999999999,-131.56740745077246,-16.484826774101762,-14.607796742276806,-141.43582859960046,-91.1616300338807,38.340905706153976
46,1.0005290508270264,0.006439,1.009252,1.9728043333333334,0.9853996666666667,-0.564934,1.005999,-131.22678972773843,-16.484826774101762,-14.73552838770551,-141.12964649841115,-90.88487813356103,38.16867827428975
47,1.2338979244232178,0.006430333333333334,1.0091483333333333,1.9588256666666666,0.9855953333333333,-0.564934,1.005929,-130.90746061274857,-16.475258583526735,-14.863260034552324,-140.82346439738114,-90.60812623465947,37.99645084234586
48,1.5274829864501953,0.006421666666666667,1.0090446666666668,1.944847,0.985791,-0.564913,1.0058646666666666,-130.58813149634057,-16.465690392792368,-14.990991681399136,-140.51728229619184,-90.33137433433978,37.814655219826946
49,1.9999690055847168,0.006413,1.008941,1.9309196666666666,0.9904753333333333,-0.5648920000000001,1.0058003333333334,-130.2688023813507,-16.45612220213767,-15.097434720201795,-140.21110019516186,-90.05462243402012,37.6328595973877
50,2.2410271167755127,0.006414666666666667,1.008839,1.9169923333333334,0.9951596666666667,-0.564871,1.005736,-129.9281846583167,-16.45612220213767,-15.203877757586348,-139.90491809397253,-89.77787053370045,37.45106397478911
51,2.527451992034912,0.006416333333333334,1.008737,1.903065,0.999844,-0.5648783333333334,1.0056723333333333,-129.58756693386457,-16.45612220213767,-15.310320796389007,-139.59873599294255,-89.50111863338077,37.27883654292489
52,3.000438928604126,0.006418,1.008635,1.8908953333333334,1.0040163333333334,-0.5648856666666666,1.0056086666666666,-129.24694921083054,-16.45612220213767,-15.41676383377356,-139.26384931978913,-89.2243667344792,37.10660911106067
53,3.235240936279297,0.006408,1.0085406666666665,1.8787256666666667,1.0081886666666666,-0.564893,1.005545,-128.9063314877965,-16.45612220213767,-15.52320687257622,-138.92896264679507,-88.94761483415954,36.934381679116775
54,3.533863067626953,0.006398,1.0084463333333333,1.866556,1.012361,-0.5649116666666667,1.0054836666666667,-128.56571376476248,-16.45612220213767,-15.629649911378877,-138.59407597364165,-88.67086293383987,36.75258605659786
55,4.000233888626099,0.006388,1.008352,1.8582866666666666,1.0135796666666668,-0.5649303333333333,1.0054223333333332,-128.22509604172845,-16.45612220213767,-15.736092950181536,-138.2687574912226,-88.3941110335202,36.57079043415862
56,4.2339301109313965,0.006401666666666667,1.008257,1.8500173333333334,1.0147983333333332,-0.564949,1.005361,-127.88447831869443,-16.45612220213767,-15.842535988984196,-137.94343900872389,-88.11735913320052,36.388994811560025
57,4.549465894699097,0.006415333333333333,1.008162,1.841748,1.016017,-0.5649376666666667,1.0053016666666665,-127.5438605956604,-16.45612220213767,-15.948979027786855,-137.6181205263845,-87.8193186248367,36.207199189041106
58,4.9999730587005615,0.006429,1.008067,1.83646,1.016357,-0.5649263333333333,1.0052423333333333,-127.20324287262639,-16.45612220213767,-16.034133458545362,-137.3023702345405,-87.52127811789099,36.02540356652219
59,5.23583197593689,0.006450666666666666,1.0079706666666668,1.831172,1.016697,-0.564915,1.005183,-126.86262514817426,-16.45612220213767,-16.119287889303866,-136.9866199428558,-87.22323760952716,35.8436079439236
60,5.5274670124053955,0.006472333333333333,1.0078743333333333,1.825884,1.017037,-0.5649069999999999,1.005125,-126.52200742655833,-16.45612220213767,-16.204442320062373,-136.67086965109146,-86.9464857092075,35.67138051213905
61,6.009383916854858,0.006494,1.007778,1.8223253333333334,1.017066,-0.564899,1.005067,-126.1813897021062,-16.45612220213767,-16.28959675082088,-136.34555116867242,-86.66973381030593,35.499153080195164
62,6.233675956726074,0.006506333333333334,1.0076903333333334,1.8187666666666666,1.0170949999999999,-0.564891,1.005009,-125.86206058711633,-16.446554011482974,-16.374751181579384,-136.0202326861737,-86.39298190998625,35.32692564833094
63,6.527559041976929,0.0065186666666666665,1.0076026666666666,1.815208,1.017124,-0.5648826666666666,1.00495,-125.54273147070836,-16.436985820828276,-16.45990561233789,-135.69491420375465,-86.09494140162244,35.135561835157326
64,6.999969005584717,0.006531,1.007515,1.8129786666666665,1.0170033333333333,-0.5648743333333334,1.004891,-125.22340235571849,-16.42741763017358,-16.545060043096395,-135.3695957213356,-85.79690089325861,34.94419802190404
65,7.242000102996826,0.006521666666666667,1.0074316666666667,1.8107493333333333,1.0168826666666666,-0.564866,1.004832,-124.88278463268446,-16.42741763017358,-16.630214473854902,-135.04427723883688,-85.49886038631288,34.75283420873043
66,7.5277419090271,0.0065123333333333335,1.0073483333333333,1.80852,1.016762,-0.5648713333333333,1.0047796666666666,-124.54216690965043,-16.42741763017358,-16.71536890461341,-134.71895875649753,-85.22210848599322,34.58060677694588
67,8.000447988510132,0.006503,1.007265,1.8069463333333333,1.0165326666666665,-0.5648766666666667,1.0047273333333333,-124.20154918661642,-16.42741763017358,-16.77923472732776,-134.3840720833441,-84.94535658567355,34.40837934500199
