,time,asv_1,asv_2,asv_3
43,0.0,"(63.32941356119499, 10.079845954508277)","(63.33047162325667, 10.077340028098305)","(63.32977700742304, 10.080947561362382)"
44,0.24382305145263672,"(63.329416616969894, 10.079845954508277)","(63.330470286355144, 10.07734594866219)","(63.329779681226086, 10.080943741643749)"
45,0.5274829864501953,"(63.329419672744805, 10.079845954508277)","(63.330468949453625, 10.077351869226073)","(63.329782164043195, 10.080940303896977)"
46,1.0005290508270264,"(63.32942272851971, 10.079845954508277)","(63.330467803538035, 10.077357980775888)","(63.329784646860304, 10.080936866150207)"
47,1.2338979244232178,"(63.329425593308684, 10.079846145494209)","(63.33046665762244, 10.077364092325702)","(63.32978712967741, 10.080933428403435)"
48,1.5274829864501953,"(63.32942845809766, 10.079846336480141)","(63.33046551170685, 10.077370203875518)","(63.32978961249453, 10.080929799670733)"
49,1.9999690055847168,"(63.329431322886634, 10.079846527466072)","(63.33046455677719, 10.077376315425331)","(63.32979209531164, 10.080926170938032)"
50,2.2410271167755127,"(63.329434378661546, 10.079846527466072)","(63.33046360184753, 10.077382426975147)","(63.329794578128755, 10.080922542205329)"
51,2.527451992034912,"(63.32943743443646, 10.079846527466072)","(63.33046264691787, 10.07738853852496)","(63.329797060945864, 10.080919104458557)"
52,3.000438928604126,"(63.32944049021137, 10.079846527466072)","(63.33046169198822, 10.077395223032571)","(63.329799543762974, 10.080915666711787)"
53,3.235240936279297,"(63.32944354598627, 10.079846527466072)","(63.33046073705856, 10.07740190754018)","(63.32980202658008, 10.080912228965015)"
54,3.533863067626953,"(63.32944660176118, 10.079846527466072)","(63.330459782128905, 10.07740859204779)","(63.3298045093972, 10.080908600232313)"
55,4.000233888626099,"(63.32944965753608, 10.079846527466072)","(63.330458827199244, 10.077415085569468)","(63.32980699221431, 10.080904971499612)"
56,4.2339301109313965,"(63.329452713310985, 10.079846527466072)","(63.330457872269584, 10.077421579091148)","(63.329809475031425, 10.080901342766909)"
