,time,asv_1,asv_2
25,0.0,"(63.32942272851971, 10.079843662677098)","(63.330552601291714, 10.082154687943756)"
26,0.5848181247711182,"(63.32942702570317, 10.0798433761982)","(63.330552601291714, 10.082144661182342)"
27,0.9995310306549072,"(63.329431322886634, 10.079843089719303)","(63.33055288777061, 10.08213434794203)"
28,1.5824861526489258,"(63.329435906549, 10.079843089719303)","(63.3305531742495, 10.082124034701717)"
29,1.9982831478118896,"(63.32944049021137, 10.079843089719303)","(63.3305531742495, 10.082114007940302)"
30,2.582665205001831,"(63.32944507387373, 10.079843089719303)","(63.3305531742495, 10.082103981178888)"
31,2.998305082321167,"(63.32944965753608, 10.079843089719303)","(63.3305531742495, 10.082093667938576)"
32,3.58296799659729,"(63.32945424119844, 10.079843089719303)","(63.3305531742495, 10.082083354698263)"
33,3.998284101486206,"(63.3294588248608, 10.079843089719303)","(63.3305531742495, 10.082073327936847)"
34,4.582602024078369,"(63.32946340852317, 10.079843089719303)","(63.3305531742495, 10.082063301175433)"
35,4.998695135116577,"(63.32946799218553, 10.079843089719303)","(63.3305531742495, 10.082052987935121)"
36,5.582435131072998,"(63.329472289368994, 10.079843089719303)","(63.3305531742495, 10.08204267469481)"
37,5.998435020446777,"(63.32947658655245, 10.079843089719303)","(63.3305531742495, 10.082032647933396)"
38,6.58238410949707,"(63.32948117021481, 10.079843089719303)","(63.3305531742495, 10.08202262117198)"
39,6.999989032745361,"(63.32948575387717, 10.079843089719303)","(63.3305531742495, 10.082012594410564)"
40,7.582576036453247,"(63.32949033753954, 10.079843089719303)","(63.3305531742495, 10.08200256764915)"
41,7.999731063842773,"(63.329494921201906, 10.079843089719303)","(63.3305531742495, 10.081992254408837)"
42,8.58240818977356,"(63.32949950486426, 10.079843089719303)","(63.3305531742495, 10.081981941168523)"
43,8.998419046401978,"(63.32950408852662, 10.079843089719303)","(63.3305531742495, 10.08197191440711)"
44,9.582771062850952,"(63.329508385710085, 10.079843089719303)","(63.3305531742495, 10.081961887645695)"
45,9.999886989593506,"(63.329512682893544, 10.079843089719303)","(63.3305531742495, 10.081951860884281)"
46,10.58261513710022,"(63.32951726655591, 10.079843089719303)","(63.3305531742495, 10.081941834122865)"
47,10.998041152954102,"(63.32952185021828, 10.079843089719303)","(63.3305531742495, 10.081931520882552)"
48,11.582534074783325,"(63.32952643388063, 10.079843089719303)","(63.3305531742495, 10.08192120764224)"
49,11.999698162078857,"(63.32953101754299, 10.079843089719303)","(63.3305531742495, 10.081911180880827)"
50,12.58283019065857,"(63.32953560120535, 10.079843089719303)","(63.3305531742495, 10.081901154119413)"
