timestamp (seconds since 01/01/1970), system, entity , value, speed_units (enumerated)
1710842072.417055, caravela, 7, 1.000000, METERS_PS
1710842073.465756, caravela, 7, 1.000000, METERS_PS
1710842074.468935, caravela, 7, 1.000000, METERS_PS
1710842075.515241, caravela, 7, 1.000000, METERS_PS
1710842076.565246, caravela, 7, 1.000000, METERS_PS
1710842077.567171, caravela, 7, 1.000000, METERS_PS
1710842078.615250, caravela, 7, 1.000000, METERS_PS
1710842079.616686, caravela, 7, 1.000000, METERS_PS
1710842080.668497, caravela, 7, 1.000000, METERS_PS
1710842081.715276, caravela, 7, 1.000000, METERS_PS
1710842082.766188, caravela, 7, 1.000000, METERS_PS
1710842083.766967, caravela, 7, 1.000000, METERS_PS
1710842084.767495, caravela, 7, 1.000000, METERS_PS
1710842085.815479, caravela, 7, 1.000000, METERS_PS
1710842086.817070, caravela, 7, 1.000000, METERS_PS
1710842087.867309, caravela, 7, 1.000000, METERS_PS
1710842088.915215, caravela, 7, 1.000000, METERS_PS
1710842089.965594, caravela, 7, 1.000000, METERS_PS
1710842090.969844, caravela, 7, 1.000000, METERS_PS
1710842092.016876, caravela, 7, 1.000000, METERS_PS
1710842093.065428, caravela, 7, 1.000000, METERS_PS
1710842094.065634, caravela, 7, 1.000000, METERS_PS
1710842095.115634, caravela, 7, 1.000000, METERS_PS
1710842096.165824, caravela, 7, 1.000000, METERS_PS
1710842097.166792, caravela, 7, 1.000000, METERS_PS
1710842098.215431, caravela, 7, 1.000000, METERS_PS
1710842099.215740, caravela, 7, 1.000000, METERS_PS
1710842100.269040, caravela, 7, 1.000000, METERS_PS
1710842101.316346, caravela, 7, 1.000000, METERS_PS
1710842102.366836, caravela, 7, 1.000000, METERS_PS
1710842103.415323, caravela, 7, 1.000000, METERS_PS
1710842104.416395, caravela, 7, 1.000000, METERS_PS
1710842105.465444, caravela, 7, 1.000000, METERS_PS
1710842106.465676, caravela, 7, 1.000000, METERS_PS
1710842107.465815, caravela, 7, 1.000000, METERS_PS
1710842108.515317, caravela, 7, 1.000000, METERS_PS
1710842109.565203, caravela, 7, 1.000000, METERS_PS
1710842110.619882, caravela, 7, 1.000000, METERS_PS
1710842111.666974, caravela, 7, 1.000000, METERS_PS
1710842112.716345, caravela, 7, 1.000000, METERS_PS
1710842113.765513, caravela, 7, 1.000000, METERS_PS
1710842114.815779, caravela, 7, 1.000000, METERS_PS
1710842115.865245, caravela, 7, 1.000000, METERS_PS
1710842116.865929, caravela, 7, 1.000000, METERS_PS
1710842117.870984, caravela, 7, 1.000000, METERS_PS
1710842118.915646, caravela, 7, 1.000000, METERS_PS
1710842119.965225, caravela, 7, 1.000000, METERS_PS
1710842120.969712, caravela, 7, 1.000000, METERS_PS
1710842121.966979, caravela, 7, 1.000000, METERS_PS
1710842123.016184, caravela, 7, 1.000000, METERS_PS
1710842124.065352, caravela, 7, 1.000000, METERS_PS
1710842125.065953, caravela, 7, 1.000000, METERS_PS
1710842126.068750, caravela, 7, 1.000000, METERS_PS
1710842127.115420, caravela, 7, 1.000000, METERS_PS
1710842128.165439, caravela, 7, 1.000000, METERS_PS
1710842129.215461, caravela, 7, 1.000000, METERS_PS
1710842130.218499, caravela, 7, 1.000000, METERS_PS
1710842131.217482, caravela, 7, 1.000000, METERS_PS
1710842132.265604, caravela, 7, 1.000000, METERS_PS
1710842133.266322, caravela, 7, 1.000000, METERS_PS
1710842134.315211, caravela, 7, 1.000000, METERS_PS
1710842135.315594, caravela, 7, 1.000000, METERS_PS
1710842136.315659, caravela, 7, 1.000000, METERS_PS
1710842137.365232, caravela, 7, 1.000000, METERS_PS
1710842138.365345, caravela, 7, 1.000000, METERS_PS
1710842139.415301, caravela, 7, 1.000000, METERS_PS
1710842140.420269, caravela, 7, 1.000000, METERS_PS
1710842141.465558, caravela, 7, 1.000000, METERS_PS
1710842142.515158, caravela, 7, 1.000000, METERS_PS
1710842143.516122, caravela, 7, 1.000000, METERS_PS
1710842144.565190, caravela, 7, 1.000000, METERS_PS
1710842145.565221, caravela, 7, 1.000000, METERS_PS
1710842146.615178, caravela, 7, 1.000000, METERS_PS
1710842147.615680, caravela, 7, 1.000000, METERS_PS
1710842148.665874, caravela, 7, 1.000000, METERS_PS
1710842149.666664, caravela, 7, 1.000000, METERS_PS
1710842150.718744, caravela, 7, 1.000000, METERS_PS
1710842151.715842, caravela, 7, 1.000000, METERS_PS
1710842152.765443, caravela, 7, 1.000000, METERS_PS
1710842153.765571, caravela, 7, 1.000000, METERS_PS
1710842154.817386, caravela, 7, 1.000000, METERS_PS
1710842155.865461, caravela, 7, 1.000000, METERS_PS
1710842156.865469, caravela, 7, 1.000000, METERS_PS
1710842157.915475, caravela, 7, 1.000000, METERS_PS
1710842158.915589, caravela, 7, 1.000000, METERS_PS
1710842159.966362, caravela, 7, 1.000000, METERS_PS
1710842161.016435, caravela, 7, 1.000000, METERS_PS
1710842162.065528, caravela, 7, 1.000000, METERS_PS
1710842163.065813, caravela, 7, 1.000000, METERS_PS
1710842164.068973, caravela, 7, 1.000000, METERS_PS
1710842165.115639, caravela, 7, 1.000000, METERS_PS
1710842166.115734, caravela, 7, 1.000000, METERS_PS
1710842167.164914, caravela, 7, 1.000000, METERS_PS
1710842168.165204, caravela, 7, 1.000000, METERS_PS
1710842169.165776, caravela, 7, 1.000000, METERS_PS
1710842170.219538, caravela, 7, 1.000000, METERS_PS
1710842171.265676, caravela, 7, 1.000000, METERS_PS
1710842172.266205, caravela, 7, 1.000000, METERS_PS
1710842173.315393, caravela, 7, 1.000000, METERS_PS
1710842174.315683, caravela, 7, 1.000000, METERS_PS
1710842175.365333, caravela, 7, 1.000000, METERS_PS
1710842176.365352, caravela, 7, 1.000000, METERS_PS
1710842177.367007, caravela, 7, 1.000000, METERS_PS
1710842178.416350, caravela, 7, 1.000000, METERS_PS
1710842179.467757, caravela, 7, 1.000000, METERS_PS
1710842180.519310, caravela, 7, 1.000000, METERS_PS
