,time,asv_1,asv_2,asv_3
117,16.250880002975464,"(63.32946913810112, 10.080442976530804)","(63.33033659620294, 10.078124980277636)","(63.32991146151896, 10.080891029526596)"
118,16.50211811065674,"(63.3294714299323, 10.08044698723537)","(63.33033545028735, 10.078131091827451)","(63.329914135322, 10.080887782765757)"
119,17.00000500679016,"(63.329473721763485, 10.080450997939936)","(63.33033411338583, 10.078137012391334)","(63.329916809125045, 10.080884536004918)"
120,17.250797033309937,"(63.329476204580594, 10.08045481765857)","(63.330332776484305, 10.078142932955217)","(63.329919482928084, 10.08088128924408)"
121,17.501848936080933,"(63.3294786873977, 10.080458637377205)","(63.330331439582785, 10.0781488535191)","(63.3299219657452, 10.08087804248324)"
122,17.999813079833984,"(63.32948117021481, 10.08046245709584)","(63.330330102681266, 10.078154965068915)","(63.32992444856231, 10.0808747957224)"
123,18.250827074050903,"(63.32948365303193, 10.080466085828542)","(63.33032876577974, 10.078161076618729)","(63.329926931379426, 10.08087154896156)"
124,18.50266408920288,"(63.32948613584904, 10.080469714561243)","(63.33032742887822, 10.078167188168544)","(63.32992960518247, 10.080868493186653)"
125,19.00374698638916,"(63.329488618666154, 10.080473343293946)","(63.33032628296263, 10.078173299718358)","(63.32993227898552, 10.080865437411747)"
126,19.250789165496826,"(63.32949110148326, 10.080476781040717)","(63.33032513704705, 10.078179411268174)","(63.32993495278856, 10.08086238163684)"
127,19.501737117767334,"(63.32949358430038, 10.080480218787487)","(63.33032399113146, 10.078185522817988)","(63.32993762659161, 10.080859134876)"
128,19.999927043914795,"(63.32949606711749, 10.080483656534259)","(63.33032265422994, 10.078191634367803)","(63.32994030039465, 10.080855888115162)"
129,20.25082516670227,"(63.329498740920535, 10.080486903295098)","(63.33032131732841, 10.078197745917617)","(63.32994297419769, 10.080852641354323)"
130,20.501883029937744,"(63.32950141472357, 10.080490150055937)","(63.33031998042689, 10.078203857467432)","(63.32994564800074, 10.080849394593484)"
131,20.999762058258057,"(63.32950408852662, 10.080493396816776)","(63.3303188345113, 10.078209969017246)","(63.32994832180378, 10.080846147832643)"
132,21.251039028167725,"(63.329506762329665, 10.08049626160575)","(63.330317688595706, 10.078216080567062)","(63.32995099560683, 10.080842901071804)"
133,21.502043962478638,"(63.32950943613271, 10.080499126394727)","(63.330316542680116, 10.078222192116876)","(63.32995366940987, 10.080839845296897)"
134,21.999671936035156,"(63.329512109935756, 10.080501991183702)","(63.33031520577859, 10.078228112680758)","(63.32995634321291, 10.08083678952199)"
135,22.25084400177002,"(63.3295147837388, 10.080504664986746)","(63.33031386887707, 10.078234033244643)","(63.32995901701595, 10.080833733747083)"
136,22.501753091812134,"(63.32951745754184, 10.08050733878979)","(63.330312531975544, 10.078239953808525)","(63.32996149983307, 10.080830486986244)"
137,22.99994707107544,"(63.329520131344886, 10.080510012592834)","(63.33031138605996, 10.078246065358341)","(63.32996398265018, 10.080827240225403)"
138,23.250802993774414,"(63.32952299613386, 10.080512304424014)","(63.33031024014437, 10.078252176908155)","(63.329966465467294, 10.080823993464564)"
139,23.50180411338806,"(63.329525860922836, 10.080514596255195)","(63.33030909422879, 10.07825828845797)","(63.32996913927034, 10.080820746703726)"
140,23.99968695640564,"(63.32952872571181, 10.080516888086375)","(63.33030775732726, 10.078264400007784)","(63.32997181307338, 10.080817499942887)"
141,24.250795125961304,"(63.329531399514856, 10.080518988931624)","(63.33030642042574, 10.0782705115576)","(63.329974486876424, 10.080814253182048)"
142,24.50210404396057,"(63.3295340733179, 10.080521089776873)","(63.330305083524216, 10.078276623107413)","(63.32997716067947, 10.080811006421209)"
143,24.99968910217285,"(63.32953674712095, 10.080523190622122)","(63.330303937608626, 10.078282734657229)","(63.329979834482515, 10.08080775966037)"
144,25.25087809562683,"(63.32953961190992, 10.08052510048144)","(63.33030279169303, 10.078288846207043)","(63.32998250828556, 10.080804512899531)"
145,25.50180411338806,"(63.3295424766989, 10.080527010340756)","(63.33030164577744, 10.078294957756858)","(63.3299851820886, 10.080801457124624)"
146,25.999879121780396,"(63.32954534148787, 10.080528920200074)","(63.33030049986185, 10.078301069306672)","(63.329987855891645, 10.080798401349718)"
147,26.250813961029053,"(63.32954820627685, 10.080530448087528)","(63.33029935394626, 10.078307180856488)","(63.32999052969468, 10.08079534557481)"
148,26.501775979995728,"(63.32955107106582, 10.08053197597498)","(63.33029820803067, 10.078313292406301)","(63.3299930125118, 10.080792098813971)"
149,26.999680995941162,"(63.3295539358548, 10.080533503862434)","(63.33029687112914, 10.078319403956117)","(63.32999549532891, 10.080788852053132)"
150,27.25082516670227,"(63.3295569916297, 10.080534840763956)","(63.33029553422762, 10.07832551550593)","(63.329997978146025, 10.080785605292293)"
151,27.50185513496399,"(63.32956004740461, 10.080536177665477)","(63.3302941973261, 10.078331627055746)","(63.33000065194907, 10.080782358531454)"
152,28.00000309944153,"(63.32956310317952, 10.080537514567)","(63.33029305141051, 10.07833773860556)","(63.33000332575211, 10.080779111770614)"
153,28.25083899497986,"(63.32956615895443, 10.08053866048259)","(63.330291905494924, 10.078343850155376)","(63.330005999555155, 10.080775865009775)"
154,28.501764059066772,"(63.32956921472933, 10.080539806398182)","(63.330290759579334, 10.07834996170519)","(63.3300086733582, 10.080772618248936)"
155,28.999741077423096,"(63.329572270504244, 10.080540952313772)","(63.330289613663744, 10.078356073255005)","(63.330011347161246, 10.080769371488095)"
156,29.251140117645264,"(63.32957513529322, 10.080542098229362)","(63.330288467748154, 10.078362184804819)","(63.33001402096429, 10.080766124727257)"
157,29.50174307823181,"(63.32957800008219, 10.080543244144952)","(63.330287321832564, 10.078368296354634)","(63.33001669476733, 10.080762877966418)"
158,29.999897003173828,"(63.32958086487117, 10.080544390060542)","(63.330286175916974, 10.07837440790445)","(63.330019368570376, 10.080759631205579)"
159,30.25133514404297,"(63.32958392064607, 10.0805453449902)","(63.33028503000139, 10.078380519454264)","(63.330022042373415, 10.08075638444474)"
160,30.50176215171814,"(63.329586976420984, 10.08054629991986)","(63.3302838840858, 10.07838663100408)","(63.33002452519053, 10.080753137683901)"
161,30.999685049057007,"(63.32959003219589, 10.080547254849519)","(63.33028273817021, 10.078392933539826)","(63.33002700800764, 10.080749890923062)"
162,31.25088095664978,"(63.32959308797079, 10.080548209779177)","(63.330281592254615, 10.078399236075573)","(63.33002949082476, 10.080746644162224)"
163,31.501744985580444,"(63.329596143745704, 10.080549164708835)","(63.330280446339025, 10.07840553861132)","(63.3300321646278, 10.080743397401385)"
164,31.99969506263733,"(63.32959919952061, 10.080550119638493)","(63.330279300423435, 10.078411650161133)","(63.33003483843084, 10.080740150640544)"
165,32.25079107284546,"(63.32960225529552, 10.080551074568152)","(63.33027815450784, 10.078417761710948)","(63.330037512233886, 10.080736903879705)"
166,32.501765966415405,"(63.329605311070424, 10.080552029497811)","(63.33027700859225, 10.078423873260762)","(63.33004018603693, 10.080733848104797)"
167,33.00126600265503,"(63.329608366845335, 10.08055298442747)","(63.33027586267666, 10.078429984810578)","(63.33004285983998, 10.080730792329891)"
168,33.25126099586487,"(63.32961142262024, 10.08055413034306)","(63.330274716761075, 10.078436096360392)","(63.33004553364302, 10.080727736554984)"
169,33.501758098602295,"(63.32961447839515, 10.08055527625865)","(63.330273570845485, 10.078442207910207)","(63.33004801646013, 10.080724489794145)"
170,33.99969005584717,"(63.329617534170055, 10.08055642217424)","(63.330272233943965, 10.078448319460021)","(63.33005049927724, 10.080721243033304)"
171,34.25218200683594,"(63.32962039895903, 10.08055756808983)","(63.33027089704244, 10.078454431009837)","(63.33005298209435, 10.080717996272465)"
172,34.50199103355408,"(63.329623263748005, 10.08055871400542)","(63.33026956014092, 10.07846054255965)","(63.3300556558974, 10.080714749511626)"
173,34.99983310699463,"(63.32962612853698, 10.08055985992101)","(63.33026841422533, 10.078466845095397)","(63.33005832970044, 10.080711502750788)"
174,35.25085401535034,"(63.32962918431189, 10.080561196822533)","(63.33026726830973, 10.078473147631144)","(63.33006100350349, 10.080708255989949)"
175,35.50216007232666,"(63.329632240086795, 10.080562533724054)","(63.33026612239414, 10.07847945016689)","(63.33006367730653, 10.08070500922911)"
176,36.000025033950806,"(63.329635295861706, 10.080563870625577)","(63.33026516746449, 10.078485561716704)","(63.33006635110957, 10.080701762468271)"
177,36.25080609321594,"(63.32963835163661, 10.08056539851303)","(63.33026421253483, 10.07849167326652)","(63.33006902491262, 10.080698515707432)"
178,36.50173807144165,"(63.32964140741152, 10.080566926400484)","(63.330263257605175, 10.078497784816333)","(63.33007169871566, 10.080695268946593)"
179,37.00043606758118,"(63.329644463186426, 10.080568454287938)","(63.330262111689585, 10.078503896366149)","(63.33007437251871, 10.080692022185753)"
180,37.25080108642578,"(63.3296473279754, 10.08056979118946)","(63.33026096577399, 10.078510007915963)","(63.330077046321755, 10.080688775424914)"
181,37.5015549659729,"(63.329650192764376, 10.080571128090982)","(63.3302598198584, 10.078516119465778)","(63.330079529138864, 10.080685528664075)"
182,37.99968695640564,"(63.32965305755335, 10.080572464992503)","(63.33025867394281, 10.078522422001525)","(63.33008201195597, 10.080682281903236)"
183,38.251047134399414,"(63.32965611332826, 10.080573801894024)","(63.33025752802721, 10.078528724537271)","(63.33008449477308, 10.080679035142397)"
184,38.50205707550049,"(63.329659169103174, 10.080575138795547)","(63.33025638211162, 10.078535027073018)","(63.33008716857613, 10.080675788381559)"
185,38.999778032302856,"(63.329662224878085, 10.080576475697068)","(63.33025523619603, 10.078541138622834)","(63.330089842379174, 10.08067254162072)"
186,39.25079607963562,"(63.32966508966706, 10.080578003584522)","(63.33025409028045, 10.078547250172647)","(63.33009251618222, 10.08066929485988)"
187,39.50203514099121,"(63.329667954456035, 10.080579531471976)","(63.33025294436486, 10.078553361722463)","(63.330095189985265, 10.080666048099042)"
188,40.00141215324402,"(63.32967081924501, 10.08058105935943)","(63.33025179844927, 10.078559473272277)","(63.3300978637883, 10.080662801338201)"
189,40.25079011917114,"(63.329673875019914, 10.080582587246884)","(63.33025065253367, 10.078565584822092)","(63.33010053759135, 10.080659554577363)"
190,40.5017991065979,"(63.32967693079482, 10.080584115134338)","(63.33024950661808, 10.078571696371906)","(63.330103020408465, 10.080656307816524)"
191,40.999680042266846,"(63.32967998656972, 10.080585643021791)","(63.33024836070249, 10.078577998907653)","(63.33010550322558, 10.080653061055685)"
192,41.251100063323975,"(63.32968304234463, 10.080586979923314)","(63.3302472147869, 10.0785843014434)","(63.3301079860427, 10.080649814294846)"
193,41.50159502029419,"(63.32968609811954, 10.080588316824835)","(63.33024606887131, 10.078590603979146)","(63.33011065984574, 10.080646567534007)"
194,42.00008511543274,"(63.32968915389444, 10.080589653726358)","(63.33024492295572, 10.07859671552896)","(63.330113333648775, 10.080643320773166)"
195,42.25084710121155,"(63.329692018683424, 10.080591181613812)","(63.33024377704014, 10.078602827078775)","(63.330116007451814, 10.080640074012328)"
196,42.50269293785095,"(63.3296948834724, 10.080592709501264)","(63.33024263112455, 10.078608938628589)","(63.33011868125486, 10.080636827251489)"
197,43.00509595870972,"(63.32969774826138, 10.080594237388718)","(63.33024167619489, 10.078615241164336)","(63.330121355057905, 10.08063358049065)"
198,43.25081396102905,"(63.329700804036285, 10.080595574290241)","(63.33024072126522, 10.078621543700082)","(63.33012402886095, 10.080630333729811)"
199,43.50181698799133,"(63.3297038598112, 10.080596911191762)","(63.33023976633556, 10.078627846235829)","(63.33012651167807, 10.080627086968972)"
200,43.99995994567871,"(63.3297069155861, 10.080598248093285)","(63.330238620419976, 10.078633957785643)","(63.330128994495176, 10.080623840208133)"
201,44.250776052474976,"(63.329709780375076, 10.080599775980739)","(63.330237474504386, 10.078640069335458)","(63.33013147731229, 10.080620593447295)"
202,44.5018789768219,"(63.32971264516405, 10.08060130386819)","(63.3302363285888, 10.078646180885272)","(63.33013415111534, 10.080617346686456)"
203,44.99967908859253,"(63.329715509953026, 10.080602831755645)","(63.33023518267321, 10.078652483421019)","(63.330136824918384, 10.080614099925617)"
204,45.25079298019409,"(63.32971856572793, 10.080604168657167)","(63.330234036757616, 10.078658785956767)","(63.33013949872143, 10.080610853164778)"
