,time,lat_1,lon_1,cog_1,sog_1,lat_2,lon_2,cog_2,sog_2,lat_3,lon_3,cog_3,sog_3
60,0.0,63.32941470711057,10.079846527466072,0.006305,1.007045,63.33157533095602,10.079874029440239,-3.135978666666667,1.0127593333333333,63.330550309460534,10.082162231888061,-1.5652396666666668,1.014909
61,0.26733899116516113,63.329417762885484,10.079846527466072,0.006299,1.006966,63.331572466167046,10.079874029440239,-3.1359793333333332,1.0126146666666667,63.330550309460534,10.08215554738045,-1.565236,1.014736
62,0.4558870792388916,63.329420818660395,10.079846527466072,0.006293,1.0068869999999999,63.33156960137807,10.079874029440239,-3.13598,1.01247,63.330550309460534,10.08214886287284,-1.5652190000000001,1.0145913333333334
63,1.001918077468872,63.32942387443531,10.079846527466072,0.006287,1.006808,63.33156654560316,10.079873838454308,-3.1359676666666667,1.012331,63.330550309460534,10.08214217836523,-1.565202,1.0144466666666667
64,1.2775301933288574,63.32942693021021,10.079846718452004,0.006301,1.006732,63.331563489828255,10.079873647468375,-3.1359553333333334,1.012192,63.330550309460534,10.082135493857619,-1.565185,1.014302
65,1.4549281597137451,63.32942998598512,10.079846909437936,0.006315,1.006656,63.331560434053344,10.079873456482444,-3.135943,1.012053,63.33055050044646,10.082128618364077,-1.5651586666666668,1.0141233333333333
66,2.0000569820404053,63.329433041760026,10.079847100423867,0.006329,1.00658,63.33155737827844,10.079873456482444,-3.135920666666667,1.011918,63.33055069143239,10.082121742870536,-1.5651323333333333,1.0139446666666667
67,2.2677690982818604,63.32943609753493,10.079847100423867,0.006314666666666667,1.0064993333333334,63.33155432250353,10.079873456482444,-3.1358983333333335,1.011783,63.33055088241832,10.082114867376994,-1.565106,1.013766
68,2.455510139465332,63.329439153309835,10.079847100423867,0.006300333333333333,1.0064186666666666,63.331551266728624,10.079873456482444,-3.135876,1.011648,63.33055088241832,10.082108182869385,-1.5651006666666667,1.0136123333333333
69,3.0006370544433594,63.32944220908474,10.079847100423867,0.006286,1.006338,63.33154821095372,10.079873456482444,-3.1358623333333333,1.0115186666666667,63.33055088241832,10.082101498361775,-1.5650953333333335,1.0134586666666665
70,3.267430067062378,63.32944507387372,10.079847100423867,0.006312,1.0062733333333334,63.33154515517881,10.079873456482444,-3.135848666666667,1.0113893333333335,63.33055088241832,10.082094813854166,-1.56509,1.013305
71,3.455895185470581,63.329447938662696,10.079847100423867,0.006338,1.0062086666666665,63.331542099403904,10.079873456482444,-3.135835,1.01126,63.33055088241832,10.082088129346555,-1.565094,1.013155
72,4.0001771450042725,63.32945080345168,10.079847100423867,0.006364,1.006144,63.33153904362899,10.079873456482444,-3.135829666666667,1.011141,63.33055088241832,10.082081444838947,-1.565098,1.013005
73,4.267496109008789,63.32945385922658,10.079847100423867,0.006355666666666667,1.0060746666666667,63.33153598785409,10.079873456482444,-3.1358243333333333,1.011022,63.33055088241832,10.082074760331336,-1.565102,1.012855
74,4.455218076705933,63.329456915001494,10.079847100423867,0.006347333333333333,1.0060053333333332,63.33153293207918,10.079873456482444,-3.135819,1.010903,63.33055088241832,10.082067884837794,-1.565108,1.0127106666666668
75,5.000375032424927,63.3294599707764,10.079847100423867,0.006339,1.005936,63.33152987630427,10.079873456482444,-3.1358170000000003,1.0107706666666667,63.33055088241832,10.082061009344253,-1.5651140000000001,1.0125663333333332
76,5.267810106277466,63.3294630265513,10.079847100423867,0.006343666666666667,1.0058703333333332,63.33152682052936,10.079873456482444,-3.135815,1.0106383333333333,63.33055088241832,10.082054133850711,-1.56512,1.012422
77,5.455074071884155,63.329466082326206,10.079847100423867,0.006348333333333333,1.0058046666666667,63.33152376475446,10.079873456482444,-3.135813,1.010506,63.33055088241832,10.0820474493431,-1.5651393333333334,1.0122836666666666
78,6.000461101531982,63.32946913810111,10.079847100423867,0.006353,1.005739,63.33152089996548,10.079873265496511,-3.1358163333333335,1.0103896666666665,63.33055088241832,10.082040764835492,-1.5651586666666666,1.0121453333333335
79,6.2673749923706055,63.32947219387602,10.079847291409799,0.0063620000000000005,1.0056756666666666,63.33151803517651,10.07987307451058,-3.1358196666666664,1.0102733333333334,63.33055088241832,10.082034080327881,-1.565178,1.012007
80,6.454996109008789,63.32947524965093,10.079847482395731,0.006371,1.0056123333333333,63.33151517038753,10.079872883524647,-3.135823,1.010157,63.33055088241832,10.08202739582027,-1.5651953333333333,1.011871
81,7.000272989273071,63.329478305425845,10.079847673381662,0.00638,1.005549,63.33151211461262,10.079872883524647,-3.1358303333333333,1.0100386666666668,63.33055088241832,10.082020711312662,-1.5652126666666666,1.011735
82,7.2675461769104,63.32948117021482,10.079847673381662,0.006379666666666667,1.0054863333333333,63.33150905883772,10.079872883524647,-3.1358376666666667,1.0099203333333333,63.33055088241832,10.082014026805052,-1.56523,1.011599
83,7.455811023712158,63.329484035003794,10.079847673381662,0.006379333333333333,1.0054236666666667,63.331506003062806,10.079872883524647,-3.135845,1.009802,63.33055088241832,10.082007342297441,-1.5652313333333332,1.0114696666666667
84,8.000120162963867,63.32948689979277,10.079847673381662,0.006379,1.005361,63.3315029472879,10.079872883524647,-3.135845666666667,1.0096926666666668,63.33055088241832,10.082000657789832,-1.5652326666666667,1.0113403333333333
85,8.268217086791992,63.329489955567674,10.079847673381662,0.006367333333333333,1.0053016666666665,63.33149989151299,10.079872883524647,-3.1358463333333333,1.0095833333333333,63.33055088241832,10.081993973282222,-1.565234,1.011211
