,time,asv_1,asv_2
40,0.0,"(63.32941356119499, 10.079846527466072)","(63.33152834841682, 10.079873170003545)"
41,0.4653661251068115,"(63.329417858378456, 10.079846527466072)","(63.33152376475446, 10.079872883524647)"
42,0.9984550476074219,"(63.32942215556192, 10.079846527466072)","(63.331519467571, 10.079872883524647)"
43,1.464562177658081,"(63.329426739224274, 10.079846527466072)","(63.33151517038753, 10.079872883524647)"
44,2.0005440711975098,"(63.329431322886634, 10.079846527466072)","(63.33151058672517, 10.079872883524647)"
45,2.4645791053771973,"(63.329435906549, 10.07984681394497)","(63.331506003062806, 10.079872883524647)"
46,2.9992241859436035,"(63.32944049021137, 10.079847100423867)","(63.331501419400446, 10.079872883524647)"
47,3.464372158050537,"(63.32944507387373, 10.079847100423867)","(63.331496835738086, 10.079872883524647)"
48,3.998530149459839,"(63.32944965753608, 10.079847100423867)","(63.331492252075726, 10.079872883524647)"
49,4.464136123657227,"(63.32945424119844, 10.079847100423867)","(63.33148766841337, 10.079872883524647)"
50,4.998435020446777,"(63.3294588248608, 10.079847100423867)","(63.331483084751, 10.07987259704575)"
51,5.465614080429077,"(63.329463122044274, 10.079847100423867)","(63.33147850108864, 10.079872310566852)"
52,6.000953197479248,"(63.32946741922774, 10.079847100423867)","(63.331474203905174, 10.079872310566852)"
53,6.465397119522095,"(63.3294720028901, 10.079847100423867)","(63.331469906721715, 10.079872310566852)"
54,6.998440980911255,"(63.32947658655245, 10.079847100423867)","(63.331465323059355, 10.079872310566852)"
55,7.46524715423584,"(63.32948117021481, 10.079847386902765)","(63.331460739396995, 10.079872310566852)"
56,7.999574184417725,"(63.32948575387717, 10.079847673381662)","(63.33145615573463, 10.079872310566852)"
57,8.463942050933838,"(63.32949033753954, 10.079847673381662)","(63.33145157207227, 10.079872310566852)"
58,8.998632192611694,"(63.329494921201906, 10.079847673381662)","(63.33144698840991, 10.079872310566852)"
59,9.464759111404419,"(63.329499218385365, 10.079847673381662)","(63.33144240474755, 10.079872310566852)"
60,9.999320983886719,"(63.32950351556883, 10.079847673381662)","(63.33143782108519, 10.079872024087955)"
61,10.465522050857544,"(63.32950809923119, 10.079847673381662)","(63.33143323742283, 10.079871737609059)"
62,10.99869418144226,"(63.329512682893544, 10.079847673381662)","(63.33142894023936, 10.079871737609059)"
63,11.464328050613403,"(63.32951726655591, 10.07984795986056)","(63.331424643055904, 10.079871737609059)"
64,12.000182151794434,"(63.32952185021828, 10.079848246339457)","(63.33142005939354, 10.079871737609059)"
65,12.464254140853882,"(63.32952643388063, 10.079848246339457)","(63.33141547573118, 10.079871737609059)"
66,12.999764204025269,"(63.32953101754299, 10.079848246339457)","(63.33141089206882, 10.079871737609059)"
67,13.464356184005737,"(63.329535314726456, 10.079848246339457)","(63.33140630840646, 10.079871737609059)"
68,14.000038146972656,"(63.329539611909915, 10.079848246339457)","(63.3314017247441, 10.079871737609059)"
69,14.465435981750488,"(63.329544195572275, 10.079848246339457)","(63.33139714108173, 10.079871737609059)"
70,14.99844217300415,"(63.329548779234635, 10.079848246339457)","(63.33139284389827, 10.079871451130161)"
71,15.464986085891724,"(63.329553362897, 10.079848246339457)","(63.331388546714805, 10.079871164651264)"
72,15.998517036437988,"(63.32955794655937, 10.079848246339457)","(63.331383963052446, 10.079871164651264)"
73,16.464136123657227,"(63.32956253022172, 10.079848532818355)","(63.331379379390086, 10.079871164651264)"
74,16.998618125915527,"(63.32956711388408, 10.079848819297252)","(63.331374795727726, 10.079871164651264)"
75,17.464611053466797,"(63.32957141106755, 10.079848819297252)","(63.331370212065366, 10.079871164651264)"
76,17.99942708015442,"(63.32957570825101, 10.079848819297252)","(63.331365628403006, 10.079871164651264)"
77,18.464317083358765,"(63.32958029191337, 10.079848819297252)","(63.33136104474064, 10.079871164651264)"
