timestamp (seconds since 01/01/1970), system, entity , value (rad), off (°)
1710841424.256938, caravela-2, 7, -0.00785103, 0.000000
1710841425.256953, caravela-2, 7, -0.00777807, 0.000000
1710841426.257470, caravela-2, 7, -0.00775574, 0.000000
1710841427.306791, caravela-2, 7, -0.00775541, 0.000000
1710841428.306873, caravela-2, 7, -0.00776372, 0.000000
1710841429.307543, caravela-2, 7, -0.00775604, 0.000000
1710841430.358265, caravela-2, 7, -0.00775475, 0.000000
1710841431.407084, caravela-2, 7, -0.00775787, 0.000000
1710841432.457412, caravela-2, 7, -0.00775663, 0.000000
1710841433.506792, caravela-2, 7, -0.00774834, 0.000000
1710841434.506855, caravela-2, 7, -0.00775242, 0.000000
1710841435.507057, caravela-2, 7, -0.00774729, 0.000000
1710841436.556826, caravela-2, 7, -0.00774994, 0.000000
1710841437.557021, caravela-2, 7, -0.00775015, 0.000000
1710841438.557174, caravela-2, 7, -0.00775507, 0.000000
1710841439.607498, caravela-2, 7, -0.00774797, 0.000000
1710841440.663011, caravela-2, 7, -0.00774771, 0.000000
1710841441.706944, caravela-2, 7, -0.00774771, 0.000000
1710841442.757019, caravela-2, 7, -0.00774771, 0.000000
1710841443.757416, caravela-2, 7, -0.00774771, 0.000000
1710841444.806892, caravela-2, 7, -0.00774771, 0.000000
1710841445.807213, caravela-2, 7, -0.00774771, 0.000000
1710841446.857533, caravela-2, 7, -0.00774771, 0.000000
1710841447.907099, caravela-2, 7, -0.00774771, 0.000000
1710841448.907691, caravela-2, 7, -0.00774771, 0.000000
1710841449.958864, caravela-2, 7, -0.00774771, 0.000000
1710841451.007421, caravela-2, 7, -0.00774771, 0.000000
1710841452.057201, caravela-2, 7, -0.00774105, 0.000000
1710841453.058013, caravela-2, 7, -0.00774141, 0.000000
1710841454.106781, caravela-2, 7, -0.00773899, 0.000000
1710841455.106876, caravela-2, 7, -0.00773434, 0.000000
1710841456.107073, caravela-2, 7, -0.00774024, 0.000000
1710841457.157321, caravela-2, 7, -0.00773427, 0.000000
1710841458.206998, caravela-2, 7, -0.00773085, 0.000000
1710841459.257892, caravela-2, 7, -0.00773771, 0.000000
1710841460.309680, caravela-2, 7, -0.00774235, 0.000000
1710841461.376179, caravela-2, 7, -0.00774131, 0.000000
1710841462.407154, caravela-2, 7, -0.00773221, 0.000000
1710841463.457844, caravela-2, 7, -0.00771939, 0.000000
1710841464.507641, caravela-2, 7, -0.00772427, 0.000000
1710841465.557426, caravela-2, 7, -0.00772429, 0.000000
1710841466.607991, caravela-2, 7, -0.00773675, 0.000000
1710841467.656950, caravela-2, 7, -0.00773045, 0.000000
1710841468.657629, caravela-2, 7, -0.00771879, 0.000000
