,time,cog_1,sog_1,cog_2,sog_2,cog_3,sog_3,cog_4,sog_4,cog_5,sog_5,cog_6,sog_6,x_1,y_1,x_2,y_2,x_3,y_3,x_4,y_4,x_5,y_5,x_6,y_6
63,0.0,0.224624,0.976483,0.0035093333333333335,0.4766916666666667,-0.05167516666666666,1.0156395,-1.576626,1.023315,3.064996333333333,0.9931943333333333,2.5996035,1.0228053333333333,-257.5533878239241,136.3670190150737,-160.3283164532844,128.41585257687746,-231.70901807524547,292.3955041033614,-1.004376421869463,404.52513044479383,282.7514756224179,131.6594692104929,241.1216032635499,-14.882154838643274
64,0.13739800453186035,0.23151333333333332,0.9766831666666667,0.0035135,0.4768425,-0.05187733333333333,1.0155509999999999,-1.5766316666666667,1.023182,3.072013666666667,0.9932396666666666,2.599594,1.022675,-257.4043675704512,136.40529177761283,-160.25380632725702,128.41585257687746,-231.53870921372845,292.385935912627,-1.004376421869463,404.35290301300927,282.5918110642139,131.67382149647494,240.98322731339007,-14.79125702734398
65,0.21907997131347656,0.23840266666666665,0.9768833333333333,0.0035176666666666668,0.4769933333333333,-0.0520795,1.0154625,-1.5766373333333332,1.0230489999999999,3.079031,0.993285,2.599600166666667,1.0225478333333333,-257.25534731556024,136.44356454031129,-160.17929619981155,128.41585257687746,-231.36840035221144,292.376367722052,-1.004376421869463,404.1806755810654,282.43214650742806,131.68817378245697,240.83420705991722,-14.705143311451705
66,0.519597053527832,0.24529199999999998,0.9770835,0.0035218333333333334,0.4771441666666667,-0.052281666666666664,1.015374,-1.576643,1.022916,3.086048,0.9933285,2.5996063333333335,1.0224206666666666,-257.10632706208736,136.48183730300974,-160.10478607236607,128.41585257687746,-231.19809149069442,292.3667995313973,-1.004376421869463,404.0084481492012,282.26183764591104,131.69774197319134,240.68518680644436,-14.619029595479759
67,0.6083230972290039,0.2521813333333333,0.9772836666666667,0.003526,0.477295,-0.05248383333333333,1.0152854999999998,-1.5766468333333332,1.022788,3.093065,0.993372,2.5996125,1.0222935,-256.95730680861453,136.52011006562853,-160.0302759463387,128.41585257687746,-231.0277826291774,292.3572313406629,-1.004376421869463,403.8362207174166,282.09152878439403,131.70731016384605,240.53616655155338,-14.532915879587485
68,0.8675899505615234,0.25907066666666667,0.9774838333333333,0.003521666666666667,0.47743883333333337,-0.052686,1.015197,-1.5766506666666666,1.02266,3.100082,0.9934155,2.5996186666666667,1.0221663333333333,-256.8082865537236,136.55838282824732,-159.94512151558018,128.41585257687746,-230.8574737676604,292.3476631500879,-1.004376421869463,403.6639932854727,281.921219922877,131.71687835442108,240.38714629808052,-14.44680216361554
69,1.0000770092010498,0.26596,0.977684,0.0035173333333333332,0.4775826666666667,-0.05287583333333333,1.0151136666666667,-1.5766545,1.022532,3.107099,0.993459,2.5996248333333334,1.0220391666666666,-256.6592663002507,136.59665559094577,-159.85996708482168,128.41585257687746,-230.6871649061434,292.3428790546809,-1.004376421869463,403.4917658535289,281.75091106136,131.72644654515545,240.23812604460767,-14.360688447643595
70,1.1374080181121826,0.2729678333333333,0.9778321666666667,0.003513,0.47772650000000005,-0.053065666666666664,1.0150303333333333,-1.5766583333333333,1.022404,3.114116,0.9935025000000001,2.599631,1.021912,-256.4996017434648,136.6397124488919,-159.77481265406317,128.41585257687746,-230.5168560446264,292.3380949594332,-1.004376421869463,403.3195384217443,281.580602199843,131.73601473588982,240.0891057911348,-14.27457473175132
71,1.2190380096435547,0.2799756666666666,0.9779803333333333,0.003508666666666667,0.47787033333333334,-0.0532555,1.0149469999999998,-1.5766621666666665,1.022276,3.121133,0.993546,2.599641833333333,1.021789,-256.3399371852608,136.68276930683805,-159.68965822330466,128.41585257687746,-230.34654718169128,292.33331086418553,-1.004376421869463,403.14731098988005,281.41029333832597,131.74558292646483,239.94008553766196,-14.183676920452026
72,1.5196239948272705,0.28698349999999995,0.9781285,0.0035043333333333333,0.4780141666666667,-0.05344533333333333,1.0148636666666666,-1.576666,1.022148,2.0809521666666666,0.9935878333333333,2.5996526666666666,1.021666,-256.1802726270568,136.7258261647842,-159.60450379112805,128.41585257687746,-230.17623832017426,292.3285267687785,-1.004376421869463,402.9750835579362,281.250628780122,131.74558292646483,239.79106528277097,-14.092779109232403
73,1.6087560653686523,0.2939913333333333,0.9782766666666667,0.0035,0.478158,-0.053635166666666664,1.0147803333333334,-1.5766645,1.022024,1.0407713333333333,0.9936296666666667,2.5996635,1.0215429999999999,-256.0206080688528,136.76888302281,-159.51934936178765,128.41585257687746,-230.00592945865725,292.3237426734512,-1.004376421869463,402.8076402213993,281.090964221918,131.74558292646483,239.64204502929812,-14.001881297933108
74,1.8676080703735352,0.30099916666666665,0.9784248333333334,0.0034615,0.4782811666666667,-0.053825,1.014697,-1.576663,1.0219,0.0005904999999999383,0.9936715,2.599674333333333,1.02142,-255.86094351206697,136.81193988075614,-159.44483923434217,128.41585257687746,-229.83562059714023,292.3189585782035,-1.004376421869463,402.64019688486246,280.93129966513214,131.74558292646483,239.49302477582526,-13.910983486633814
75,2.000075101852417,0.308007,0.978573,0.0034230000000000003,0.4784043333333334,-0.053955166666666665,1.0146151666666667,-1.5766615,1.021776,-1.0395903333333334,0.9937133333333333,2.5996851666666663,1.0212970000000001,-255.70127895386298,136.85499673878195,-159.3703291083148,128.41585257687746,-229.66531173562322,292.30939038746914,-1.004376421869463,402.47275354832556,280.7716351069281,131.74558292646483,239.3440045209343,-13.820085675414191
