,time,asv_1,asv_2,asv_3,asv_4,asv_5,asv_6
63,0.0,"(63.32828941800095, 10.082896954767348)","(63.32916165075107, 10.082738245458097)","(63.32852127492204, 10.086011362355748)","(63.33059098946398, 10.088249526489461)","(63.33313664094775, 10.082802989688947)","(63.332763167958284, 10.07987794465184)"
64,0.13739800453186035,"(63.32829075490247, 10.082897718711074)","(63.32916231920183, 10.082738245458097)","(63.328522802809495, 10.086011171369815)","(63.33059098946398, 10.088246088742691)","(63.33313520855326, 10.082803276167844)","(63.33276192654973, 10.07987975901819)"
65,0.21907997131347656,"(63.328292091803995, 10.082898482654802)","(63.32916298765259, 10.082738245458097)","(63.32852433069695, 10.086010980383884)","(63.33059098946398, 10.08824265099592)","(63.333133776158775, 10.082803562646742)","(63.33276058964821, 10.079881477891576)"
66,0.519597053527832,"(63.328293428705514, 10.08289924659853)","(63.329163656103354, 10.082738245458097)","(63.3285258585844, 10.086010789397953)","(63.33059098946398, 10.08823921324915)","(63.33313224827132, 10.082803753632675)","(63.33275925274669, 10.07988319676496)"
67,0.6083230972290039,"(63.32829476560703, 10.082900010542255)","(63.329164324554114, 10.082738245458097)","(63.32852738647185, 10.08601059841202)","(63.33059098946398, 10.08823577550238)","(63.33313072038387, 10.082803944618606)","(63.332757915845164, 10.079884915638345)"
68,0.8675899505615234,"(63.32829610250856, 10.082900774485982)","(63.32916508849784, 10.082738245458097)","(63.3285289143593, 10.08601040742609)","(63.33059098946398, 10.088232337755608)","(63.333129192496415, 10.082804135604537)","(63.332756578943645, 10.079886634511732)"
69,1.0000770092010498,"(63.32829743941008, 10.08290153842971)","(63.32916585244157, 10.082738245458097)","(63.32853044224676, 10.086010311933123)","(63.33059098946398, 10.088228900008836)","(63.33312766460896, 10.08280432659047)","(63.332755242042126, 10.079888353385117)"
70,1.1374080181121826,"(63.32829887180456, 10.082902397866402)","(63.329166616385294, 10.082738245458097)","(63.328531970134215, 10.086010216440158)","(63.33059098946398, 10.088225462262066)","(63.33312613672151, 10.082804517576403)","(63.332753905140606, 10.079890072258502)"
71,1.2190380096435547,"(63.328300304199054, 10.082903257303094)","(63.32916738032902, 10.082738245458097)","(63.32853349802167, 10.086010120947194)","(63.33059098946398, 10.088222024515296)","(63.333124608834055, 10.082804708562334)","(63.33275256823909, 10.079891886624853)"
72,1.5196239948272705,"(63.328301736593545, 10.082904116739787)","(63.32916814427275, 10.082738245458097)","(63.328535025909126, 10.086010025454227)","(63.33059098946398, 10.088218586768525)","(63.333123176439564, 10.082804708562334)","(63.33275123133756, 10.079893700991205)"
