
Negotiation Communication Statistics:

       Unnamed: 0          time   entity         mmsi      msg_in     msg_out   iter_time
count  607.000000  6.070000e+02     607.0  607.000000  607.000000  607.000000  592.000000
mean    20.301483  1.710394e+09       7.0  111.967051   17.421746    4.947282    5.326072
std     12.486549  6.005249e+05       0.0    0.843673   10.139134    2.188446    8.980206
min      0.000000  1.709501e+09       7.0  111.000000    3.000000    3.000000    3.000475
25%     10.000000  1.709796e+09       7.0  111.000000   12.000000    3.000000    3.101343
50%     20.000000  1.710854e+09       7.0  112.000000   15.000000    4.000000    4.148677
75%     30.500000  1.710855e+09       7.0  113.000000   21.000000    6.000000    5.196473
max     50.000000  1.710855e+09       7.0  113.000000  144.000000   13.000000  145.950425
