
Negotiation Communication Statistics:

       Unnamed: 0          time   entity         mmsi      msg_in     msg_out   iter_time
count  416.000000  4.160000e+02     416.0  416.000000  416.000000  416.000000  406.000000
mean    21.456731  1.710109e+09       7.0  111.846154   10.367788    4.954327    4.697905
std     13.716512  5.868005e+05       0.0    0.989285    6.452930    2.831889    2.347091
min      0.000000  1.709502e+09       7.0  111.000000    2.000000    3.000000    3.000004
25%     10.000000  1.709676e+09       7.0  111.000000    6.000000    3.000000    3.099806
50%     20.000000  1.709813e+09       7.0  111.000000    9.000000    4.000000    4.100045
75%     32.000000  1.710862e+09       7.0  113.000000   12.000000    5.250000    5.199691
max     55.000000  1.710863e+09       7.0  113.000000   57.000000   29.000000   29.850176
