,time,asv_1,asv_2,asv_3,asv_4,asv_5,asv_6
200,0.0,"(63.32828368842299, 10.08292273786813)","(63.32920481357163, 10.082738245458097)","(63.328858174105584, 10.085521483440912)","(63.330587551717215, 10.0878724247673)","(63.3328957121949, 10.082687156721365)","(63.332459691312806, 10.080196318199999)"
201,0.09262800216674805,"(63.32828521631045, 10.08292388378372)","(63.32920557751536, 10.082738245458097)","(63.32885970199303, 10.08552129245498)","(63.330587551717215, 10.087869082513494)","(63.33289427980041, 10.082686488270605)","(63.332458258918315, 10.080197559608555)"
202,0.25670504570007324,"(63.3282867441979, 10.08292502969931)","(63.32920634145909, 10.082738245458097)","(63.32886122988049, 10.085521101469048)","(63.330587551717215, 10.087865740259689)","(63.33289284740593, 10.082685819819844)","(63.332456826523824, 10.080198801017112)"
203,0.39632701873779297,"(63.32828827208535, 10.082926175614901)","(63.329207105402816, 10.082738245458097)","(63.328862757767936, 10.085520910483117)","(63.330587551717215, 10.087862398005884)","(63.33289141501144, 10.082685151369082)","(63.33245539412934, 10.080200042425668)"
204,0.6468019485473633,"(63.32828979997281, 10.08292732153049)","(63.32920786934655, 10.082738245458097)","(63.32886428565539, 10.085520719497184)","(63.330587551717215, 10.08785905575208)","(63.33288998261695, 10.082684482918323)","(63.332453961734856, 10.080201283834224)"
205,0.6794388294219971,"(63.328291327860256, 10.08292846744608)","(63.32920853779731, 10.082738245458097)","(63.32886581354285, 10.085520528511253)","(63.330587551717215, 10.087855713498275)","(63.332888550222464, 10.082683814467561)","(63.332452529340365, 10.08020252524278)"
206,1.0041279792785645,"(63.32829285574771, 10.08292961336167)","(63.329209206248066, 10.082738245458097)","(63.328867341430296, 10.085520337525322)","(63.330587551717215, 10.08785237124447)","(63.33288702233501, 10.082683241509766)","(63.332451096945874, 10.080203766651337)"
207,1.0925769805908203,"(63.32829419264923, 10.082930663784296)","(63.32920987469882, 10.082738245458097)","(63.328868869317745, 10.08552014653939)","(63.330587551717215, 10.087849028990664)","(63.33288549444755, 10.082682668551971)","(63.33244966455139, 10.080205008059892)"
208,1.2566938400268555,"(63.32829552955076, 10.08293171420692)","(63.32921054314958, 10.082738245458097)","(63.3288703972052, 10.085519955553458)","(63.330587551717215, 10.087845686736859)","(63.3328839665601, 10.082682095594176)","(63.332448232156906, 10.080206249468448)"
209,1.3964588642120361,"(63.32829686645228, 10.082932764629543)","(63.32921121160034, 10.082738245458097)","(63.32887182959969, 10.085519764567525)","(63.330587551717215, 10.087842344483054)","(63.33288243867264, 10.08268152263638)","(63.332446799762415, 10.080207490877005)"
210,1.6468420028686523,"(63.328298203353796, 10.082933815052169)","(63.3292118800511, 10.082738245458097)","(63.328873261994175, 10.085519573581594)","(63.330587551717215, 10.087839002229249)","(63.332880910785185, 10.082680949678585)","(63.332445367367924, 10.080208636792594)"
211,1.6794638633728027,"(63.32829954025532, 10.082934865474794)","(63.32921264399483, 10.082738245458097)","(63.32887469438866, 10.085519382595663)","(63.330587551717215, 10.087835659975445)","(63.33287938289773, 10.08268037672079)","(63.33244393497344, 10.080209782708184)"
212,1.999419927597046,"(63.32830087715684, 10.082935915897417)","(63.32921340793855, 10.082738245458097)","(63.32887612678315, 10.08551919160973)","(63.330587551717215, 10.08783231772164)","(63.332877950503246, 10.082679803762995)","(63.33244250257896, 10.080210928623774)"
213,2.092578887939453,"(63.32830230955133, 10.082937061813007)","(63.329214171882285, 10.082738245458097)","(63.32887755917764, 10.085519000623798)","(63.330587551717215, 10.087828975467835)","(63.332876518108755, 10.0826792308052)","(63.332441070184466, 10.080212074539366)"
214,2.256685972213745,"(63.32830374194582, 10.0829382077286)","(63.329214935826016, 10.082738245458097)","(63.328878991572125, 10.085518809637867)","(63.330587551717215, 10.08782563321403)","(63.332875085714264, 10.082678657847405)","(63.332439637789975, 10.080213220454956)"
215,2.3963708877563477,"(63.3283051743403, 10.08293935364419)","(63.32921569976974, 10.082738245458097)","(63.32888051945958, 10.0855187141449)","(63.330587551717215, 10.087822290960224)","(63.33287365331978, 10.08267808488961)","(63.33243820539549, 10.080214366370546)"
216,2.646811008453369,"(63.32830660673479, 10.08294049955978)","(63.32921646371347, 10.082738245458097)","(63.32888204734704, 10.085518618651935)","(63.330587551717215, 10.08781894870642)","(63.332872220925296, 10.082677511931815)","(63.33243686849397, 10.080215607779103)"
217,2.6794729232788086,"(63.32830803912928, 10.08294164547537)","(63.32921713216423, 10.082738245458097)","(63.32888357523449, 10.08551852315897)","(63.330587551717215, 10.087815606452615)","(63.332870788530805, 10.08267693897402)","(63.332435531592445, 10.080216849187659)"
218,2.999462842941284,"(63.32830947152377, 10.08294279139096)","(63.32921780061499, 10.082738245458097)","(63.32888510312195, 10.085518427666004)","(63.330587551717215, 10.08781226419881)","(63.33286926064335, 10.082676366016225)","(63.33243419469092, 10.080218090596215)"
219,3.092615842819214,"(63.32831090391825, 10.08294393730655)","(63.32921846906575, 10.082738245458097)","(63.328886631009404, 10.085518332173038)","(63.330587551717215, 10.087808921945005)","(63.3328677327559, 10.08267579305843)","(63.3324328577894, 10.08021933200477)"
220,3.256816864013672,"(63.32831233631274, 10.08294508322214)","(63.32921913751652, 10.082738245458097)","(63.32888815889686, 10.085518236680073)","(63.330587551717215, 10.087805388705268)","(63.332866204868445, 10.082675220100633)","(63.33243152088788, 10.080220573413326)"
221,3.3964598178863525,"(63.32831376870723, 10.08294622913773)","(63.32921980596728, 10.082738245458097)","(63.32888968678431, 10.085518045694142)","(63.330587551717215, 10.087801855465532)","(63.33286467698099, 10.082674647142838)","(63.332430183986354, 10.080221814821883)"
222,3.6467490196228027,"(63.32831520110172, 10.08294737505332)","(63.32922047441804, 10.082738245458097)","(63.32889121467176, 10.08551785470821)","(63.330587551717215, 10.087798322225794)","(63.33286314909354, 10.082674074185043)","(63.33242875159186, 10.08022305623044)"
223,3.6794450283050537,"(63.3283166334962, 10.08294852096891)","(63.32922123836176, 10.082738245458097)","(63.32889274255922, 10.085517663722278)","(63.330587551717215, 10.087794788986058)","(63.332861621206085, 10.082673501227248)","(63.33242731919738, 10.080224297638996)"
224,3.9994518756866455,"(63.32831806589069, 10.0829496668845)","(63.32922200230549, 10.082738245458097)","(63.32889427044667, 10.085517472736347)","(63.330587551717215, 10.087791255746321)","(63.33286009331863, 10.082672928269453)","(63.332425886802895, 10.08022553904755)"
225,4.099032878875732,"(63.32831959377815, 10.08295081280009)","(63.32922276624922, 10.082738245458097)","(63.328895798334116, 10.085517281750414)","(63.330587551717215, 10.087787722506585)","(63.33285856543118, 10.082672355311658)","(63.332424454408404, 10.080226780456107)"
226,4.256955862045288,"(63.3283211216656, 10.08295195871568)","(63.32922353019294, 10.082738245458097)","(63.32889732622157, 10.085517090764483)","(63.330587551717215, 10.087784475745746)","(63.33285703754373, 10.082671782353863)","(63.33242302201391, 10.080228021864663)"
227,4.396401882171631,"(63.32832264955306, 10.082953104631272)","(63.32922429413667, 10.082738245458097)","(63.32889885410903, 10.08551689977855)","(63.330587551717215, 10.087781228984907)","(63.33285550965628, 10.082671209396066)","(63.33242158961943, 10.08022926327322)"
228,4.646749973297119,"(63.328324177440514, 10.082954250546862)","(63.3292250580804, 10.082738245458097)","(63.32890038199648, 10.08551670879262)","(63.330587551717215, 10.087777982224068)","(63.33285398176882, 10.082670636438271)","(63.33242006173197, 10.080230504681776)"
229,4.679450988769531,"(63.32832570532797, 10.082955396462452)","(63.32922582202412, 10.082738245458097)","(63.32890190988394, 10.085516517806688)","(63.330587551717215, 10.08777473546323)","(63.33285245388137, 10.082670063480476)","(63.33241853384452, 10.080231746090332)"
230,5.002831935882568,"(63.328327233215425, 10.082956542378042)","(63.32922658596785, 10.082738245458097)","(63.328903437771395, 10.085516326820755)","(63.330587551717215, 10.08777148870239)","(63.33285102148688, 10.082669490522681)","(63.33241700595707, 10.080232987498889)"
231,5.0928099155426025,"(63.328328570116945, 10.082957592800668)","(63.32922734991158, 10.082738245458097)","(63.32890496565885, 10.085516135834823)","(63.330587551717215, 10.087768241941552)","(63.33284958909239, 10.082668917564886)","(63.33241547806961, 10.080234228907443)"
232,5.256726980209351,"(63.32832990701847, 10.082958643223291)","(63.3292281138553, 10.082738245458097)","(63.328906493546306, 10.085515944848892)","(63.330587551717215, 10.087764899687746)","(63.33284815669791, 10.082668344607091)","(63.33241395018216, 10.080235470316)"
233,5.399822950363159,"(63.32833124391999, 10.082959693645915)","(63.32922887779903, 10.082738245458097)","(63.32890802143376, 10.08551575386296)","(63.330587551717215, 10.087761557433941)","(63.332846724303415, 10.082667771649296)","(63.3324124222947, 10.080236711724556)"
234,5.646957874298096,"(63.32833258082151, 10.08296074406854)","(63.32922964174276, 10.082738245458097)","(63.32890954932121, 10.085515562877028)","(63.330587551717215, 10.087758215180138)","(63.332845291908924, 10.082667198691501)","(63.33241108539318, 10.080237953133112)"
235,5.679551839828491,"(63.328333917723036, 10.082961794491165)","(63.329230310193516, 10.082738245458097)","(63.32891107720866, 10.085515371891097)","(63.330587551717215, 10.087754872926332)","(63.33284385951443, 10.082666625733706)","(63.33240974849166, 10.080239194541669)"
236,6.001330852508545,"(63.328335254624555, 10.082962844913789)","(63.329230978644276, 10.082738245458097)","(63.328912605096114, 10.085515180905166)","(63.330587551717215, 10.087751530672527)","(63.33284233162698, 10.082666052775911)","(63.33240841159014, 10.080240435950223)"
237,6.0928168296813965,"(63.328336687019046, 10.082963895336412)","(63.32923164709504, 10.082738245458097)","(63.32891413298357, 10.085514989919233)","(63.330587551717215, 10.087748188418722)","(63.33284080373953, 10.082665479818116)","(63.33240707468862, 10.08024167735878)"
238,6.256714820861816,"(63.32833811941353, 10.082964945759038)","(63.3292323155458, 10.082738245458097)","(63.32891566087102, 10.085514798933302)","(63.330587551717215, 10.087744846164917)","(63.33283927585207, 10.082664906860321)","(63.3324057377871, 10.080242918767336)"
239,6.396411895751953,"(63.328339551808014, 10.082965996181663)","(63.32923298399656, 10.082738245458097)","(63.328917188758474, 10.08551460794737)","(63.330587551717215, 10.087741503911111)","(63.33283774796462, 10.082664333902526)","(63.33240440088558, 10.080244160175893)"
240,6.646894931793213,"(63.328340984202505, 10.082967046604287)","(63.32923365244732, 10.082738245458097)","(63.32891871664592, 10.085514416961438)","(63.330587551717215, 10.087738161657306)","(63.33283622007717, 10.082663760944731)","(63.33240306398406, 10.080245401584449)"
241,6.6794140338897705,"(63.328342416596996, 10.08296809702691)","(63.329234416391046, 10.082738245458097)","(63.32892024453338, 10.085514225975505)","(63.330587551717215, 10.087734819403503)","(63.332834692189714, 10.082663187986936)","(63.332401727082534, 10.080246642993005)"
242,6.999511957168579,"(63.32834384899148, 10.082969147449536)","(63.32923518033478, 10.082738245458097)","(63.328921772420834, 10.085514034989574)","(63.330587551717215, 10.087731477149697)","(63.33283316430226, 10.082662615029141)","(63.33240039018101, 10.080247884401562)"
243,7.092589855194092,"(63.32834528138597, 10.082970293365126)","(63.3292359442785, 10.082738245458097)","(63.32892330030828, 10.085513844003643)","(63.330587551717215, 10.087728134895892)","(63.33283163641481, 10.082662042071346)","(63.33239905327949, 10.080249125810118)"
244,7.2567079067230225,"(63.328346713780455, 10.082971439280715)","(63.329236708222226, 10.082738245458097)","(63.32892482819574, 10.08551365301771)","(63.33058745622425, 10.087724792642087)","(63.33283010852736, 10.08266146911355)","(63.33239771637797, 10.080250367218675)"
245,7.396397829055786,"(63.328348146174946, 10.082972585196305)","(63.32923747216596, 10.082738245458097)","(63.32892626059022, 10.085513462031779)","(63.33058736073128, 10.087721450388281)","(63.332828580639905, 10.082660896155755)","(63.33239637947644, 10.080251608627231)"
246,7.646785020828247,"(63.32834957856944, 10.082973731111897)","(63.32923823610968, 10.082738245458097)","(63.32892769298471, 10.085513271045848)","(63.330587265238314, 10.087718108134478)","(63.33282705275245, 10.08266032319796)","(63.33239494708195, 10.08025275454282)"
247,7.679456949234009,"(63.32835101096392, 10.082974877027487)","(63.329239000053406, 10.082738245458097)","(63.328929125379204, 10.085513080059915)","(63.33058716974535, 10.087714765880673)","(63.332825524865, 10.082659750240165)","(63.33239351468747, 10.08025390045841)"
248,7.9996209144592285,"(63.32835244335841, 10.082976022943077)","(63.32923976399714, 10.082738245458097)","(63.32893055777369, 10.085512889073984)","(63.33058707425238, 10.087711423626867)","(63.33282409247051, 10.08265917728237)","(63.332392082292984, 10.080255046374)"
249,8.092756032943726,"(63.328353875752896, 10.0829770733657)","(63.32924052794086, 10.082738245458097)","(63.32893199016817, 10.085512698088053)","(63.33058697875941, 10.087708081373062)","(63.332822660076026, 10.082658604324575)","(63.33239064989849, 10.08025619228959)"
250,8.256810903549194,"(63.32835530814739, 10.082978123788326)","(63.329241291884586, 10.082738245458097)","(63.32893342256266, 10.085512507102122)","(63.33058697875941, 10.087704643626292)","(63.332821227681535, 10.08265803136678)","(63.332389217504, 10.08025733820518)"
251,8.396399974822998,"(63.32835674054188, 10.082979174210951)","(63.32924205582832, 10.082738245458097)","(63.32893495045012, 10.08551231611619)","(63.33058697875941, 10.08770120587952)","(63.332819795287044, 10.082657458408985)","(63.33238778510952, 10.08025848412077)"
252,8.64674687385559,"(63.32835817293636, 10.082980224633575)","(63.32924281977204, 10.082738245458097)","(63.328936478337575, 10.085512125130258)","(63.33058697875941, 10.087697768132749)","(63.33281836289256, 10.08265688545119)","(63.33238635271503, 10.080259725529327)"
253,8.679616928100586,"(63.328359605330846, 10.082981275056198)","(63.3292434882228, 10.082738245458097)","(63.32893800622503, 10.085511934144327)","(63.33058697875941, 10.087694330385979)","(63.33281693049807, 10.082656312493395)","(63.332384920320536, 10.080260966937884)"
254,8.999567985534668,"(63.32836103772534, 10.082982325478824)","(63.32924415667356, 10.082738245458097)","(63.328939534112486, 10.085511743158396)","(63.33058697875941, 10.087690892639209)","(63.33281540261061, 10.0826557395356)","(63.33238348792605, 10.08026220834644)"
255,9.09286093711853,"(63.32836247011983, 10.082983471394414)","(63.32924482512432, 10.082738245458097)","(63.32894106199994, 10.085511552172463)","(63.33058697875941, 10.087687454892437)","(63.33281387472316, 10.082655166577805)","(63.33238205553156, 10.080263449754996)"
256,9.256693840026855,"(63.32836390251431, 10.082984617310004)","(63.32924549357509, 10.082738245458097)","(63.3289425898874, 10.085511361186532)","(63.33058697875941, 10.087684112638632)","(63.33281234683571, 10.08265459362001)","(63.33238062313707, 10.080264691163553)"
257,9.396448850631714,"(63.328365334908796, 10.082985763225594)","(63.329246162025846, 10.082738245458097)","(63.32894411777485, 10.085511074707634)","(63.33058697875941, 10.087680770384827)","(63.33281081894825, 10.082654020662213)","(63.33237919074258, 10.08026593257211)"
258,9.646878957748413,"(63.32836676730329, 10.082986909141185)","(63.329246830476606, 10.082738245458097)","(63.3289456456623, 10.085510788228737)","(63.33058697875941, 10.087677428131023)","(63.3328092910608, 10.082653447704418)","(63.33237775834809, 10.080267173980666)"
259,9.681957006454468,"(63.32836819969778, 10.082988055056775)","(63.32924759442033, 10.082738245458097)","(63.32894717354975, 10.085510501749837)","(63.33058697875941, 10.087674085877218)","(63.33280776317334, 10.082652874746623)","(63.332376325953604, 10.080268415389222)"
260,9.999502897262573,"(63.32836963209226, 10.082989200972365)","(63.32924835836406, 10.082738245458097)","(63.328948701437206, 10.08551021527094)","(63.33058697875941, 10.087670743623413)","(63.33280633077885, 10.082652206295862)","(63.33237489355912, 10.080269656797778)"
261,10.09256386756897,"(63.328371064486745, 10.082990251394989)","(63.329249122307786, 10.082738245458097)","(63.32895022932466, 10.085509928792042)","(63.33058697875941, 10.087667401369607)","(63.33280489838437, 10.0826515378451)","(63.33237346116463, 10.080270898206333)"
262,10.25672698020935,"(63.32837249688124, 10.082991301817614)","(63.32924988625151, 10.082738245458097)","(63.32895175721211, 10.085509642313145)","(63.33058697875941, 10.087664059115802)","(63.33280346598988, 10.082650869394339)","(63.33237202877014, 10.08027213961489)"
