,time,asv_1,asv_2,asv_3
100,11.811207056045532,"(63.329518794443366, 10.079854166903342)","(63.331463413200034, 10.079857986621976)","(63.33058124918147, 10.081841566508718)"
101,11.999539136886597,"(63.32952185021828, 10.079855121833)","(63.33146035742512, 10.079856840706386)","(63.330582777068926, 10.081835645944835)"
102,12.680414199829102,"(63.32952471500725, 10.079856458734522)","(63.33145730165022, 10.079855694790796)","(63.330584304956375, 10.08182972538095)"
103,12.811161994934082,"(63.32952757979623, 10.079857795636045)","(63.33145443686124, 10.079854548875206)","(63.33058583284383, 10.081823804817068)"
104,12.999563217163086,"(63.3295304445852, 10.079859132537566)","(63.33145157207227, 10.079853402959614)","(63.330587360731286, 10.081817884253185)"
105,13.6806960105896,"(63.32953330937418, 10.07986066042502)","(63.33144870728329, 10.079852257044024)","(63.330588888618735, 10.081811963689303)"
106,13.811153173446655,"(63.32953617416315, 10.079862188312472)","(63.33144565150839, 10.07985072915657)","(63.33059041650619, 10.08180604312542)"
107,13.999566078186035,"(63.32953903895213, 10.079863716199926)","(63.331442595733485, 10.079849201269116)","(63.330591944393646, 10.081800122561537)"
108,14.680375099182129,"(63.32954209472703, 10.07986524408738)","(63.33143953995858, 10.079847673381662)","(63.330593472281095, 10.081794201997653)"
109,14.81114912033081,"(63.32954515050194, 10.079866771974833)","(63.331436675169606, 10.079846336480141)","(63.33059500016855, 10.08178828143377)"
110,14.999795198440552,"(63.32954820627685, 10.079868299862287)","(63.331433810380624, 10.079844999578619)","(63.330596528056, 10.081782551855818)"
111,15.680450201034546,"(63.32955107106582, 10.079870018735672)","(63.33143094559165, 10.079843662677098)","(63.330598055943454, 10.081776822277869)"
112,15.811185121536255,"(63.3295539358548, 10.079871737609059)","(63.33142788981674, 10.079842516761508)","(63.3305995838309, 10.081771092699917)"
113,15.999675989151001,"(63.32955680064377, 10.079873456482444)","(63.33142483404183, 10.079841370845916)","(63.33060111171836, 10.081765172136034)"
114,16.680480003356934,"(63.32955966543275, 10.079875175355829)","(63.33142177826692, 10.079840224930326)","(63.33060263960582, 10.081759251572151)"
115,16.81118607521057,"(63.32956253022172, 10.079876894229214)","(63.33141891347795, 10.079838888028803)","(63.33060416749328, 10.081753331008269)"
116,16.99967122077942,"(63.3295653950107, 10.079878613102599)","(63.33141604868897, 10.079837551127282)","(63.330605504394796, 10.081747983402181)"
117,17.68049120903015,"(63.32956845078561, 10.079880331975984)","(63.3314131839, 10.07983621422576)","(63.330606841296316, 10.081742635796093)"
118,17.81603217124939,"(63.32957150656051, 10.07988205084937)","(63.33141012812509, 10.07983506831017)","(63.330608178197835, 10.081737288190006)"
119,17.999495029449463,"(63.329574562335424, 10.079883769722755)","(63.33140707235018, 10.07983392239458)","(63.330609515099354, 10.081731367626123)"
120,18.680358171463013,"(63.3295774271244, 10.07988548859614)","(63.33140401657528, 10.07983277647899)","(63.33061085200088, 10.081725447062238)"
121,18.812851190567017,"(63.32958029191337, 10.079887207469527)","(63.331400960800366, 10.079831439577468)","(63.3306121889024, 10.081719526498356)"
122,18.999513149261475,"(63.32958315670235, 10.079888926342912)","(63.33139790502546, 10.079830102675945)","(63.33061352580392, 10.081713796920404)"
123,19.680347204208374,"(63.32958602149132, 10.079890645216297)","(63.33139484925055, 10.079828765774424)","(63.330614862705445, 10.081708067342452)"
124,19.821771144866943,"(63.329588886280305, 10.079892364089682)","(63.331391984461575, 10.079827619858834)","(63.330616199606965, 10.0817023377645)"
125,19.999909162521362,"(63.32959175106928, 10.079894082963067)","(63.3313891196726, 10.079826473943243)","(63.330617345522555, 10.081696226214687)"
126,20.680419206619263,"(63.329594615858255, 10.079896183808316)","(63.331386254883625, 10.079825328027653)","(63.33061849143815, 10.081690114664871)"
127,20.81119203567505,"(63.32959748064723, 10.079898284653567)","(63.33138319910872, 10.079824182112063)","(63.33061963735374, 10.081684003115058)"
128,20.999799013137817,"(63.329600345436205, 10.079900385498815)","(63.33138014333381, 10.079823036196473)","(63.33062078326933, 10.081678082551175)"
129,21.68034601211548,"(63.32960321022518, 10.079902295358131)","(63.331377087558906, 10.079821890280883)","(63.33062192918493, 10.08167216198729)"
130,21.81182599067688,"(63.329606075014155, 10.07990420521745)","(63.33137422276993, 10.079820744365293)","(63.33062307510052, 10.081666241423408)"
131,21.999739170074463,"(63.32960893980313, 10.079906115076765)","(63.331371357980956, 10.079819598449701)","(63.33062403003017, 10.081659938887661)"
132,22.68033719062805,"(63.329611804592105, 10.079908406907947)","(63.33136849319198, 10.079818452534111)","(63.33062498495983, 10.081653636351916)"
133,22.81156301498413,"(63.32961466938108, 10.079910698739127)","(63.33136543741707, 10.079817306618521)","(63.33062593988949, 10.08164733381617)"
134,22.99963116645813,"(63.329617534170055, 10.079912990570309)","(63.331362381642165, 10.07981616070293)","(63.33062689481915, 10.08164084029449)"
135,23.680347204208374,"(63.32962039895903, 10.079915091415558)","(63.331359325867254, 10.07981501478734)","(63.3306278497488, 10.081634346772812)"
136,23.811257123947144,"(63.329623263748005, 10.079917192260805)","(63.33135627009235, 10.079813677885818)","(63.33062880467846, 10.081627853251133)"
137,23.999908208847046,"(63.32962612853698, 10.079919293106054)","(63.33135321431744, 10.079812340984295)","(63.330629568622186, 10.081621359729455)"
138,24.680349111557007,"(63.329628993325954, 10.079921584937233)","(63.331350158542534, 10.079811004082774)","(63.33063033256591, 10.081614866207778)"
139,24.813392162322998,"(63.32963185811493, 10.079923876768415)","(63.33134729375356, 10.079809858167184)","(63.330631096509634, 10.0816083726861)"
140,24.99986219406128,"(63.329634722903904, 10.079926168599595)","(63.331344428964584, 10.079808712251594)","(63.330631860453366, 10.081601879164422)"
141,25.68045210838318,"(63.32963739670695, 10.079928269444844)","(63.33134156417561, 10.079807566336004)","(63.3306326243971, 10.081595385642743)"
142,25.811180114746094,"(63.329640070509996, 10.079930370290093)","(63.3313385084007, 10.079806420420415)","(63.33063338834083, 10.081588892121065)"
143,25.999316215515137,"(63.32964274431304, 10.079932471135342)","(63.33133545262579, 10.079805274504823)","(63.33063415228455, 10.081582971557182)"
144,26.680340051651,"(63.329645609102016, 10.079934762966522)","(63.331332396850875, 10.079804128589233)","(63.330634916228284, 10.0815770509933)"
145,26.811134099960327,"(63.32964847389099, 10.079937054797703)","(63.3313295320619, 10.079802982673643)","(63.33063568017201, 10.081571130429417)"
146,27.00018811225891,"(63.329651338679966, 10.079939346628883)","(63.331326667272926, 10.079801836758053)","(63.33063663510167, 10.08156482789367)"
147,27.680421113967896,"(63.32965420346894, 10.079941638460063)","(63.33132380248395, 10.079800690842463)","(63.33063759003132, 10.081558525357924)"
148,27.811397075653076,"(63.329657068257916, 10.079943930291245)","(63.331320746709046, 10.079799544926873)","(63.33063854496098, 10.081552222822177)"
149,27.999508142471313,"(63.32965993304689, 10.079946222122425)","(63.33131769093414, 10.079798399011281)","(63.33063949989064, 10.081546111272361)"
150,28.6803560256958,"(63.32966279783587, 10.079948513953605)","(63.33131463515924, 10.079797253095691)","(63.3306404548203, 10.081539999722548)"
151,28.811355113983154,"(63.32966566262485, 10.079950805784787)","(63.33131177037026, 10.079796107180101)","(63.33064140974995, 10.081533888172732)"
152,28.99949622154236,"(63.32966852741383, 10.079953097615967)","(63.33130890558128, 10.07979496126451)","(63.33064255566554, 10.081527585636985)"
153,29.680467128753662,"(63.329671392202805, 10.079955389447147)","(63.331306040792306, 10.07979381534892)","(63.33064370158114, 10.08152128310124)"
154,29.811277151107788,"(63.32967425699178, 10.079957681278328)","(63.331302985017395, 10.07979266943333)","(63.33064484749673, 10.081514980565494)"
155,29.99949812889099,"(63.329677121780755, 10.079959973109508)","(63.33129992924249, 10.07979152351774)","(63.33064599341232, 10.081508869015678)"
156,30.68044900894165,"(63.32967998656973, 10.079962073954757)","(63.33129687346758, 10.07979037760215)","(63.33064713932791, 10.081502757465865)"
157,30.811825037002563,"(63.329682851358704, 10.079964174800006)","(63.331293817692675, 10.07978942267249)","(63.3306482852435, 10.081496645916049)"
158,30.99949312210083,"(63.32968571614768, 10.079966275645255)","(63.331290761917764, 10.079788467742832)","(63.330649622145025, 10.081490534366235)"
159,31.680485010147095,"(63.329688389950725, 10.079968567476435)","(63.33128770614286, 10.079787512813173)","(63.330650959046544, 10.08148442281642)"
160,31.811146020889282,"(63.32969106375377, 10.079970859307616)","(63.331284841353884, 10.079786366897583)","(63.33065229594807, 10.081478311266606)"
161,31.999497175216675,"(63.329693737556816, 10.079973151138796)","(63.33128197656491, 10.079785220981993)","(63.33065363284959, 10.08147219971679)"
162,32.68242001533508,"(63.32969660234579, 10.079975442969976)","(63.331279111775935, 10.079784075066403)","(63.3306549697511, 10.081466088166977)"
163,32.81111812591553,"(63.329699467134766, 10.079977734801158)","(63.33127605600103, 10.079782929150813)","(63.33065630665262, 10.081459976617161)"
164,32.99950313568115,"(63.32970233192374, 10.079980026632338)","(63.331273000226126, 10.079781783235223)","(63.33065783454008, 10.081453865067347)"
165,33.680402994155884,"(63.329705196712716, 10.079982127477587)","(63.33126994445122, 10.079780637319633)","(63.33065936242754, 10.081447753517532)"
166,33.811219215393066,"(63.32970806150169, 10.079984228322836)","(63.33126707966224, 10.079779491404043)","(63.330660890314995, 10.081441641967718)"
167,33.99948501586914,"(63.329710926290666, 10.079986329168085)","(63.331264214873265, 10.079778345488451)","(63.330662227216514, 10.081435530417902)"
168,34.68033504486084,"(63.32971379107964, 10.079988620999265)","(63.33126135008428, 10.079777199572861)","(63.33066356411804, 10.081429418868089)"
169,34.81118607521057,"(63.329716655868616, 10.079990912830446)","(63.33125829430938, 10.079776053657271)","(63.33066490101956, 10.081423307318273)"
170,34.99950909614563,"(63.32971952065759, 10.079993204661626)","(63.33125523853447, 10.079774907741681)","(63.330666428907016, 10.08141738675439)"
171,35.680705070495605,"(63.329722385446566, 10.079995305506875)","(63.33125218275956, 10.079773761826091)","(63.330667956794464, 10.081411466190506)"
172,35.81122803688049,"(63.32972525023554, 10.079997406352122)","(63.33124931797059, 10.079772615910501)","(63.33066948468192, 10.081405545626623)"
173,35.999765157699585,"(63.329728115024515, 10.079999507197371)","(63.33124645318161, 10.07977146999491)","(63.33067082158344, 10.08139943407681)"
174,36.6804940700531,"(63.32973097981349, 10.080001799028553)","(63.33124358839264, 10.07977032407932)","(63.330672158484965, 10.081393322526994)"
175,36.81119513511658,"(63.329733844602465, 10.080004090859733)","(63.331240532617734, 10.07976936914966)","(63.330673495386485, 10.08138721097718)"
176,36.999757051467896,"(63.32973670939144, 10.080006382690915)","(63.33123747684282, 10.079768414220004)","(63.33067483228801, 10.081381290413297)"
177,37.68075108528137,"(63.329739574180415, 10.080008483536163)","(63.33123442106792, 10.079767459290345)","(63.33067616918953, 10.081375369849413)"
178,37.81120300292969,"(63.32974243896939, 10.080010584381412)","(63.331231556278944, 10.079766313374755)","(63.33067750609106, 10.08136944928553)"
179,37.99960517883301,"(63.329745303758365, 10.080012685226661)","(63.33122869148997, 10.079765167459163)","(63.330679033978505, 10.081363337735716)"
180,38.680363178253174,"(63.32974797756141, 10.080014977057841)","(63.331225826700994, 10.079764021543573)","(63.33068056186596, 10.0813572261859)"
181,38.81245708465576,"(63.329750651364456, 10.080017268889023)","(63.33122277092608, 10.079762875627983)","(63.33068208975341, 10.081351114636087)"
182,38.999829053878784,"(63.3297533251675, 10.080019560720203)","(63.33121971515118, 10.079761729712393)","(63.330683426654936, 10.081345194072204)"
183,39.680360078811646,"(63.32975618995648, 10.080021852551383)","(63.33121665937627, 10.079760583796803)","(63.330684763556455, 10.08133927350832)"
184,39.8118360042572,"(63.32975905474545, 10.080024144382563)","(63.33121379458729, 10.079759628867144)","(63.33068610045798, 10.081333352944437)"
185,39.99957609176636,"(63.32976191953443, 10.080026436213743)","(63.33121092979832, 10.079758673937485)","(63.3306874373595, 10.081327241394622)"
186,40.680328130722046,"(63.3297647843234, 10.080028537058991)","(63.33120806500934, 10.079757719007826)","(63.33068877426103, 10.081321129844808)"
187,40.81136512756348,"(63.32976764911238, 10.08003063790424)","(63.33120500923444, 10.079756573092236)","(63.330690111162546, 10.081315018294992)"
188,41.00025010108948,"(63.32977051390135, 10.08003273874949)","(63.33120195345953, 10.079755427176647)","(63.33069163905, 10.081308906745178)"
189,41.680357217788696,"(63.32977337869033, 10.080035030580671)","(63.33119889768462, 10.079754281261057)","(63.33069316693745, 10.081302795195363)"
190,41.812329053878784,"(63.3297762434793, 10.080037322411851)","(63.33119584190971, 10.079753326331398)","(63.330694694824906, 10.081296683645549)"
191,41.999484062194824,"(63.329779108268276, 10.080039614243033)","(63.33119278613481, 10.079752371401739)","(63.330696031726426, 10.081290763081666)"
192,42.68052005767822,"(63.32978178207132, 10.080042097060144)","(63.331189730359895, 10.07975141647208)","(63.33069736862795, 10.081284842517782)"
193,42.811235189437866,"(63.32978445587437, 10.080044579877256)","(63.33118686557092, 10.07975027055649)","(63.33069870552947, 10.0812789219539)"
194,43.000070095062256,"(63.32978712967741, 10.080047062694367)","(63.33118400078194, 10.0797491246409)","(63.33070004243099, 10.081272810404085)"
195,43.68053913116455,"(63.32978999446639, 10.08004954551148)","(63.33118113599296, 10.07974797872531)","(63.33070137933252, 10.08126669885427)"
196,43.81117916107178,"(63.32979285925536, 10.080052028328593)","(63.33117808021806, 10.07974683280972)","(63.330702716234036, 10.081260587304456)"
197,43.9997501373291,"(63.32979572404434, 10.080054511145706)","(63.331175024443155, 10.07974568689413)","(63.33070405313556, 10.081254666740573)"
198,44.68035006523132,"(63.329798397847384, 10.080056993962819)","(63.33117196866825, 10.07974454097854)","(63.33070539003708, 10.081248746176689)"
199,44.8111891746521,"(63.32980107165043, 10.08005947677993)","(63.331169103879276, 10.079743586048881)","(63.33070672693861, 10.081242825612806)"
200,45.00011420249939,"(63.329803745453475, 10.080061959597042)","(63.3311662390903, 10.079742631119222)","(63.33070806384013, 10.081236714062992)"
201,45.68048405647278,"(63.32980661024245, 10.080064633400086)","(63.331163374301326, 10.079741676189563)","(63.33070940074164, 10.081230602513177)"
202,45.811716079711914,"(63.329809475031425, 10.08006730720313)","(63.331160318526415, 10.079740721259904)","(63.33071073764316, 10.081224490963363)"
203,45.99951410293579,"(63.3298123398204, 10.080069981006174)","(63.3311572627515, 10.079739766330247)","(63.330712074544685, 10.081218379413547)"
204,46.68041706085205,"(63.329815013623445, 10.080072463823287)","(63.33115420697659, 10.079738811400588)","(63.330713411446204, 10.081212267863734)"
205,46.81120204925537,"(63.329817687426484, 10.080074946640398)","(63.33115134218762, 10.079737665484998)","(63.33071474834773, 10.081206156313918)"
206,47.00016808509827,"(63.32982036122953, 10.08007742945751)","(63.33114847739864, 10.079736519569407)","(63.33071608524925, 10.081200235750035)"
207,47.681159019470215,"(63.329823226018505, 10.080080103260554)","(63.33114561260967, 10.079735373653817)","(63.33071742215078, 10.081194315186151)"
208,47.812090158462524,"(63.32982609080748, 10.080082777063598)","(63.33114255683476, 10.079734418724158)","(63.330718759052296, 10.081188394622268)"
209,47.99949908256531,"(63.329828955596454, 10.080085450866642)","(63.33113950105985, 10.0797334637945)","(63.330720095953815, 10.081182283072454)"
210,48.68012309074402,"(63.3298316293995, 10.080088124669686)","(63.33113644528495, 10.079732508864842)","(63.33072143285534, 10.081176171522639)"
211,48.8126380443573,"(63.329834303202546, 10.08009079847273)","(63.33113358049597, 10.079731362949252)","(63.33072276975686, 10.081170059972825)"
212,48.99973201751709,"(63.32983697700559, 10.080093472275774)","(63.331130715707, 10.07973021703366)","(63.33072410665838, 10.08116394842301)"
213,49.680379152297974,"(63.329839841794566, 10.080095955092887)","(63.33112785091802, 10.07972907111807)","(63.330725443559906, 10.081157836873196)"
214,49.8112051486969,"(63.32984270658354, 10.080098437909998)","(63.33112479514311, 10.079728116188411)","(63.330726780461426, 10.08115172532338)"
215,49.99949908256531,"(63.329845571372516, 10.08010092072711)","(63.33112173936821, 10.079727161258754)","(63.33072811736295, 10.081145804759498)"
216,50.68038010597229,"(63.32984824517556, 10.080103594530154)","(63.331118683593296, 10.079726206329095)","(63.33072945426447, 10.081139884195615)"
217,50.811217069625854,"(63.32985091897861, 10.0801062683332)","(63.33111581880432, 10.079725251399436)","(63.330730791166, 10.081133963631732)"
218,51.00014400482178,"(63.32985359278165, 10.080108942136244)","(63.331112954015346, 10.079724296469779)","(63.33073212806752, 10.081127852081917)"
219,51.68054008483887,"(63.32985645757063, 10.080111424953355)","(63.33111008922637, 10.07972334154012)","(63.33073346496904, 10.081121740532103)"
220,51.81119203567505,"(63.3298593223596, 10.080113907770468)","(63.33110703345147, 10.079722386610461)","(63.33073480187056, 10.081115628982287)"
221,51.999518156051636,"(63.32986218714858, 10.080116390587579)","(63.331103977676555, 10.079721431680802)","(63.33073613877208, 10.081109517432473)"
222,52.68053603172302,"(63.32986486095162, 10.080119064390622)","(63.33110092190165, 10.079720476751143)","(63.33073747567361, 10.081103405882658)"
223,52.811197996139526,"(63.32986753475466, 10.080121738193668)","(63.331098057112676, 10.079719330835553)","(63.33073881257513, 10.081097294332844)"
224,52.99973011016846,"(63.32987020855771, 10.080124411996712)","(63.3310951923237, 10.079718184919964)","(63.330740149476654, 10.081091182783029)"
225,53.68057918548584,"(63.32987307334668, 10.080126894813823)","(63.331092327534726, 10.079717039004374)","(63.33074148637817, 10.081085071233215)"
226,53.811599016189575,"(63.32987593813566, 10.080129377630936)","(63.331089271759815, 10.079716084074715)","(63.3307428232797, 10.0810789596834)"
227,53.99951720237732,"(63.32987880292463, 10.080131860448047)","(63.33108621598491, 10.079715129145056)","(63.33074416018122, 10.081072657147653)"
228,54.68039321899414,"(63.32988147672768, 10.08013453425109)","(63.33108316021, 10.079714174215397)","(63.330745497082745, 10.081066354611906)"
229,54.814324140548706,"(63.329884150530724, 10.080137208054136)","(63.331080104435095, 10.079713219285738)","(63.330746833984264, 10.08106005207616)"
230,54.99960708618164,"(63.32988682433377, 10.08013988185718)","(63.331077048660184, 10.07971226435608)","(63.330748170885784, 10.081054322498208)"
231,55.68306612968445,"(63.329889689122744, 10.080142364674291)","(63.33107399288528, 10.079711309426422)","(63.33074950778731, 10.081048592920258)"
232,55.811312198638916,"(63.32989255391172, 10.080144847491404)","(63.331071128096305, 10.079710354496763)","(63.33075084468883, 10.081042863342306)"
233,55.99965000152588,"(63.329895418700694, 10.080147330308515)","(63.33106826330733, 10.079709399567104)","(63.33075199060442, 10.08103675179249)"
234,56.680371046066284,"(63.32989809250374, 10.080149813125628)","(63.331065398518355, 10.079708444637445)","(63.33075313652, 10.081030640242677)"
235,56.811400175094604,"(63.329900766306785, 10.08015229594274)","(63.33106234274345, 10.079707489707786)","(63.33075428243559, 10.081024528692861)"
236,57.00011610984802,"(63.32990344010983, 10.080154778759853)","(63.33105928696854, 10.07970653477813)","(63.33075561933711, 10.081018417143047)"
237,57.680368185043335,"(63.329906304898806, 10.080157261576966)","(63.331056231193635, 10.07970557984847)","(63.33075695623864, 10.081012305593232)"
238,57.81197905540466,"(63.32990916968778, 10.080159744394077)","(63.33105336640465, 10.079704624918811)","(63.33075829314016, 10.081006194043418)"
239,58.00006818771362,"(63.329912034476756, 10.08016222721119)","(63.33105050161568, 10.079703669989152)","(63.33075963004168, 10.081000082493603)"
240,58.680440187454224,"(63.3299147082798, 10.080164710028303)","(63.331047636826696, 10.079702715059494)","(63.3307609669432, 10.080993970943787)"
241,58.81129312515259,"(63.32991738208284, 10.080167192845414)","(63.33104458105179, 10.079701569143904)","(63.33076230384473, 10.080987859393971)"
242,58.99978709220886,"(63.329920055885886, 10.080169675662527)","(63.33104152527689, 10.079700423228314)","(63.33076344976032, 10.080981747844158)"
243,59.680408000946045,"(63.32992292067486, 10.08017215847964)","(63.33103846950198, 10.079699277312724)","(63.33076459567591, 10.080975636294342)"
244,59.813470125198364,"(63.32992578546384, 10.08017464129675)","(63.33103560471301, 10.079698322383065)","(63.3307657415915, 10.080969524744528)"
245,59.999839067459106,"(63.32992865025282, 10.080177124113863)","(63.331032739924034, 10.079697367453408)","(63.330767078493025, 10.080963413194713)"
246,60.68056321144104,"(63.32993151504179, 10.080179606930976)","(63.33102987513506, 10.079696412523749)","(63.330768415394544, 10.080957301644899)"
247,60.81117105484009,"(63.32993437983077, 10.080182089748087)","(63.331026819360154, 10.07969545759409)","(63.33076975229607, 10.080951190095083)"
248,60.99962019920349,"(63.32993724461974, 10.0801845725652)","(63.33102376358524, 10.079694502664431)","(63.33077108919759, 10.08094507854527)"
249,61.68034100532532,"(63.32993991842279, 10.080187055382313)","(63.33102070781034, 10.079693547734772)","(63.33077242609912, 10.080938966995454)"
250,61.81117010116577,"(63.32994259222583, 10.080189538199424)","(63.33101784302136, 10.079692592805113)","(63.330773763000636, 10.08093285544564)"
251,61.999788999557495,"(63.32994526602887, 10.080192021016536)","(63.33101497823238, 10.079691637875456)","(63.330774908916226, 10.080926743895825)"
252,62.68034100532532,"(63.32994813081785, 10.08019450383365)","(63.3310121134434, 10.079690682945797)","(63.33077605483181, 10.080920632346011)"
253,62.81167507171631,"(63.32995099560682, 10.08019698665076)","(63.331009057668496, 10.07968991900207)","(63.3307772007474, 10.080914520796195)"
254,63.00012016296387,"(63.3299538603958, 10.080199469467873)","(63.331006001893584, 10.079689155058343)","(63.33077834666299, 10.080908982204177)"
255,63.68034219741821,"(63.32995653419884, 10.080201952284986)","(63.33100294611868, 10.079688391114615)","(63.330779492578586, 10.080903443612156)"
256,63.812286138534546,"(63.32995920800189, 10.080204435102097)","(63.331000081329705, 10.079687436184956)","(63.330780638494176, 10.080897905020137)"
257,64.00012803077698,"(63.329961881804934, 10.08020691791921)","(63.33099721654073, 10.0796864812553)","(63.330781784409766, 10.080891793470323)"
258,64.68047618865967,"(63.32996474659391, 10.080209400736322)","(63.330994351751755, 10.07968552632564)","(63.33078293032536, 10.080885681920508)"
259,64.81278109550476,"(63.329967611382884, 10.080211883553433)","(63.33099129597685, 10.079684571395982)","(63.33078407624095, 10.080879570370694)"
