
Negotiation Communication Statistics:

       Unnamed: 0          time   entity         mmsi      msg_in     msg_out   iter_time
count  359.000000  3.590000e+02     359.0  359.000000  359.000000  359.000000  349.000000
mean    18.601671  1.710324e+09       7.0  111.479109   10.988858    5.044568    4.675370
std     12.031620  6.292757e+05       0.0    0.500261    5.800201    2.484188    1.793696
min      0.000000  1.709502e+09       7.0  111.000000    3.000000    3.000000    3.000907
25%      8.500000  1.709675e+09       7.0  111.000000    7.000000    3.000000    3.101254
50%     17.000000  1.710856e+09       7.0  111.000000    9.000000    4.000000    4.100347
75%     28.000000  1.710858e+09       7.0  112.000000   13.000000    6.000000    5.199687
max     48.000000  1.710858e+09       7.0  112.000000   34.000000   17.000000   17.450515
