,time, system, entity , mmsi, msg_in, msg_out,iter_time
29,1709674896.39211, caravela,7,111,9,3,3.08879399299622
30,1709674899.4424, caravela,7,111,9,3,3.05029296875
31,1709674902.54218, caravela,7,111,9,3,3.09977602958679
32,1709674906.74926, caravela,7,111,12,4,4.20707893371582
33,1709674910.84256, caravela,7,111,12,4,4.09330105781555
35,1709675057.09209, caravela,7,111,4,4,4.1000120639801
36,1709675065.29205, caravela,7,111,3,3,8.19996190071106
0,1709674741.36161, caravela-2,7,112,18,12,
1,1709674744.46376, caravela-2,7,112,6,3,3.10214495658875
2,1709674748.61169, caravela-2,7,112,8,4,4.14792799949646
3,1709674751.66152, caravela-2,7,112,6,3,3.0498321056366
4,1709674755.81147, caravela-2,7,112,8,4,4.14995098114014
5,1709674758.91156, caravela-2,7,112,6,3,3.10008502006531
6,1709674761.96176, caravela-2,7,112,7,3,3.05020594596863
7,1709674765.06186, caravela-2,7,112,6,3,3.10010194778442
8,1709674768.17531, caravela-2,7,112,6,3,3.11344718933105
9,1709674772.31182, caravela-2,7,112,8,4,4.13650679588318
10,1709674776.41301, caravela-2,7,112,7,4,4.1011950969696
11,1709674779.56207, caravela-2,7,112,6,3,3.14905500411987
12,1709674782.61146, caravela-2,7,112,6,3,3.04939103126526
13,1709674785.71163, caravela-2,7,112,6,3,3.10017395019531
14,1709674792.96155, caravela-2,7,112,14,7,7.24991607666016
15,1709674797.06182, caravela-2,7,112,8,4,4.1002688407898
16,1709674805.31203, caravela-2,7,112,16,8,8.25020909309387
17,1709674808.462, caravela-2,7,112,6,3,3.14997696876526
18,1709674812.56152, caravela-2,7,112,8,4,4.09951710700989
19,1709674816.66158, caravela-2,7,112,8,4,4.10005903244019
20,1709674819.76162, caravela-2,7,112,6,3,3.10004186630249
21,1709674822.86159, caravela-2,7,112,6,3,3.09997010231018
22,1709674828.01153, caravela-2,7,112,10,5,5.14993596076965
23,1709674831.0616, caravela-2,7,112,6,3,3.05007600784302
24,1709674834.11185, caravela-2,7,112,6,3,3.05024099349976
25,1709674839.21777, caravela-2,7,112,10,5,5.10592889785767
26,1709674842.31168, caravela-2,7,112,8,3,3.09390807151794
27,1709674847.46159, caravela-2,7,112,10,5,5.14990592002869
28,1709674851.5615, caravela-2,7,112,8,4,4.09991121292114
29,1709674869.01201, caravela-2,7,112,34,17,17.450514793396
30,1709674874.16175, caravela-2,7,112,10,5,5.14973115921021
31,1709674878.26153, caravela-2,7,112,8,5,4.09978795051575
32,1709674882.36188, caravela-2,7,112,8,4,4.10034704208374
33,1709674887.5118, caravela-2,7,112,10,7,5.14991688728333
34,1709674890.56198, caravela-2,7,112,6,3,3.05018711090088
35,1709674893.71375, caravela-2,7,112,6,3,3.15176486968994
