
Negotiation Communication Statistics:

       Unnamed: 0          time   entity         mmsi      msg_in     msg_out   iter_time
count  396.000000  3.960000e+02     396.0  396.000000  396.000000  396.000000  381.000000
mean    12.828283  1.710343e+09       7.0  112.020202   20.252525    5.537879    5.012361
std      7.845393  6.228869e+05       0.0    0.823451   10.845608    2.901083    2.497204
min      0.000000  1.709506e+09       7.0  111.000000    6.000000    3.000000    3.000409
25%      6.000000  1.709674e+09       7.0  111.000000   13.000000    3.000000    3.100267
50%     13.000000  1.710850e+09       7.0  112.000000   18.000000    5.000000    4.151229
75%     19.000000  1.710850e+09       7.0  113.000000   25.000000    7.000000    6.149862
max     29.000000  1.710851e+09       7.0  113.000000  141.000000   26.000000   29.750255
