timestamp (seconds since 01/01/1970), system, entity , value, speed_units (enumerated)
1709815474.819376, caravela-2, 7, 0.500000, METERS_PS
1709815475.841211, caravela-2, 7, 0.500000, METERS_PS
1709815476.890924, caravela-2, 7, 0.500000, METERS_PS
1709815477.890975, caravela-2, 7, 0.500000, METERS_PS
1709815478.894419, caravela-2, 7, 0.500000, METERS_PS
1709815479.941109, caravela-2, 7, 0.500000, METERS_PS
1709815480.991043, caravela-2, 7, 0.500000, METERS_PS
1709815481.991884, caravela-2, 7, 0.500000, METERS_PS
1709815482.992216, caravela-2, 7, 0.500000, METERS_PS
1709815484.040846, caravela-2, 7, 0.500000, METERS_PS
1709815485.041059, caravela-2, 7, 0.500000, METERS_PS
1709815486.091841, caravela-2, 7, 0.500000, METERS_PS
1709815487.140907, caravela-2, 7, 0.500000, METERS_PS
1709815488.142350, caravela-2, 7, 0.500000, METERS_PS
1709815489.191835, caravela-2, 7, 0.500000, METERS_PS
1709815490.244497, caravela-2, 7, 0.500000, METERS_PS
1709815491.292633, caravela-2, 7, 0.500000, METERS_PS
1709815492.341205, caravela-2, 7, 0.500000, METERS_PS
1709815493.342054, caravela-2, 7, 0.500000, METERS_PS
1709815494.390951, caravela-2, 7, 0.500000, METERS_PS
1709815495.390969, caravela-2, 7, 0.500000, METERS_PS
1709815496.391886, caravela-2, 7, 0.500000, METERS_PS
1709815497.440871, caravela-2, 7, 0.500000, METERS_PS
1709815498.441224, caravela-2, 7, 0.500000, METERS_PS
1709815499.491056, caravela-2, 7, 0.500000, METERS_PS
1709815500.492095, caravela-2, 7, 0.500000, METERS_PS
1709815501.562582, caravela-2, 7, 0.500000, METERS_PS
1709815502.590929, caravela-2, 7, 0.500000, METERS_PS
1709815503.591448, caravela-2, 7, 0.500000, METERS_PS
1709815504.641200, caravela-2, 7, 0.500000, METERS_PS
1709815505.690806, caravela-2, 7, 0.500000, METERS_PS
1709815506.692039, caravela-2, 7, 0.500000, METERS_PS
1709815507.741163, caravela-2, 7, 0.500000, METERS_PS
1709815508.741899, caravela-2, 7, 0.500000, METERS_PS
1709815509.791467, caravela-2, 7, 0.500000, METERS_PS
1709815510.840882, caravela-2, 7, 0.500000, METERS_PS
1709815511.840895, caravela-2, 7, 0.500000, METERS_PS
1709815512.840902, caravela-2, 7, 0.500000, METERS_PS
1709815513.841430, caravela-2, 7, 0.500000, METERS_PS
1709815514.891488, caravela-2, 7, 0.500000, METERS_PS
1709815515.940988, caravela-2, 7, 0.500000, METERS_PS
1709815516.944960, caravela-2, 7, 0.500000, METERS_PS
1709815517.991064, caravela-2, 7, 0.500000, METERS_PS
1709815518.991740, caravela-2, 7, 0.500000, METERS_PS
1709815520.041110, caravela-2, 7, 0.500000, METERS_PS
1709815521.091028, caravela-2, 7, 0.500000, METERS_PS
1709815522.091175, caravela-2, 7, 0.500000, METERS_PS
1709815523.141001, caravela-2, 7, 0.500000, METERS_PS
1709815524.191213, caravela-2, 7, 0.500000, METERS_PS
1709815525.191956, caravela-2, 7, 0.500000, METERS_PS
1709815526.191900, caravela-2, 7, 0.500000, METERS_PS
1709815527.241426, caravela-2, 7, 0.500000, METERS_PS
1709815528.726672, caravela-2, 7, 0.500000, METERS_PS
1709815529.898187, caravela-2, 7, 0.500000, METERS_PS
