,time,lat_1,lon_1,cog_1,sog_1,lat_2,lon_2,cog_2,sog_2,lat_3,lon_3,cog_3,sog_3,lat_4,lon_4,cog_4,sog_4,lat_5,lon_5,cog_5,sog_5,lat_6,lon_6,cog_6,sog_6
103,0.0,63.328234414052616,10.083149056197207,0.668772,1.016013,63.32914942765144,10.082738245458097,0.0034029999999999998,0.47396499999999997,63.328553838023396,10.085719726838027,-0.304558,1.0070453333333333,63.33058812467501,10.08808527858819,-1.576246,1.0173166666666666,63.33304152995376,10.08280795532317,-2.9005233333333336,1.0228416666666666,63.3326364487926,10.080048972553685,2.5291631666666667,0.979312
104,0.09827399253845215,63.328235559968206,10.083151157042456,0.6685588333333333,1.0159243333333334,63.32915019159516,10.082738245458097,0.003393666666666667,0.4741343333333333,63.32855527041789,10.085718771908368,-0.304007,1.007017,63.33058812467501,10.088081936334387,-1.5762429999999998,1.0172189999999999,63.33304009755928,10.082807191379445,-2.897965166666667,1.0229363333333334,63.33263530287701,10.080050882413001,2.5222583333333333,0.979486
105,0.2690291404724121,63.328236705883796,10.083153257887705,0.6683456666666667,1.0158356666666668,63.32915095553889,10.082738245458097,0.0033843333333333334,0.4743036666666667,63.32855670281238,10.085717721485743,-0.30367983333333337,1.0069808333333334,63.33058812467501,10.088078594080581,-1.5762399999999999,1.0171213333333333,63.333038665164786,10.082806427435717,-2.895407,1.023031,63.33263415696142,10.080052792272319,2.5153535,0.97966
106,0.49785399436950684,63.328237851799386,10.083155358732952,0.6681325,1.0157470000000002,63.32915171948262,10.082738245458097,0.003375,0.474473,63.32855813520686,10.08571667106312,-0.30335266666666666,1.0069446666666666,63.33058812467501,10.088075251826776,-1.5762369999999999,1.0170236666666668,63.33303713727733,10.082805567999024,-2.8937865,1.022982,63.332633011045836,10.080054702131637,2.5084486666666668,0.979834
107,0.6933770179748535,63.328238997714976,10.083157459578201,0.6679193333333333,1.0156583333333333,63.32915238793338,10.082738245458097,0.0033736666666666667,0.4746353333333333,63.328559567601346,10.085715620640496,-0.3030255,1.0069085,63.33058812467501,10.088071909572971,-1.576234,1.016926,63.333035609389874,10.082804708562332,-2.892166,1.022933,63.332631865130246,10.080056611990953,2.5015438333333333,0.980008
108,0.871711015701294,63.328240143630566,10.08315956042345,0.6677061666666667,1.0155696666666667,63.32915305638414,10.082738245458097,0.0033723333333333335,0.4747976666666667,63.32856099999584,10.08571457021787,-0.30269833333333335,1.0068723333333334,63.33058812467501,10.088068471826201,-1.5762271666666665,1.0168313333333334,63.33303408150242,10.08280384912564,-2.8905455,1.022884,63.332630719214656,10.08005852185027,2.494639,0.980182
109,0.9997260570526123,63.328241289546156,10.083161661268699,0.667493,1.015481,63.3291537248349,10.082738245458097,0.003371,0.47496,63.32856243239033,10.085713519795245,-0.30237116666666664,1.0068361666666665,63.33058812467501,10.08806503407943,-1.5762203333333333,1.0167366666666666,63.33303255361497,10.082802989688947,-2.888925,1.022835,63.332629573299066,10.080060527202553,2.4876386666666663,0.9972688333333333
110,1.099290132522583,63.32824253095471,10.083163762113948,0.6673626666666667,1.015397,63.32915439328566,10.082738245458097,0.0033696666666666666,0.4751223333333333,63.32856386478481,10.085712469372622,-0.302044,1.0068,63.33058812467501,10.088061596332658,-1.5762135,1.016642,63.333031025727514,10.082802130252254,-2.8873045,1.022786,63.33262842738347,10.080062532554837,2.4806383333333333,1.0143556666666667
111,1.2692439556121826,63.328243772363265,10.083165862959197,0.6672323333333333,1.0153130000000001,63.32915506173643,10.082738245458097,0.0033683333333333334,0.4752846666666667,63.328565297179296,10.085711514442963,-0.30184083333333334,1.0067629999999999,63.33058812467501,10.088058158585888,-1.5762066666666665,1.0165473333333335,63.33302949784006,10.082801270815562,-2.885684,1.022737,63.33262728146788,10.08006453790712,2.4736380000000002,1.0314425
112,1.4978480339050293,63.32824501377182,10.083167963804446,0.6671020000000001,1.0152290000000002,63.32915573018719,10.082738245458097,0.003367,0.475447,63.32856672957379,10.085710559513304,-0.30163766666666664,1.006726,63.33058812467501,10.088054720839118,-1.5761998333333334,1.0164526666666667,63.333028065445575,10.08280041137887,-2.8846643333333333,1.0226413333333333,63.33262613555229,10.080066543259402,2.4666376666666667,1.0485293333333332
113,1.6934080123901367,63.328246255180375,10.083170064649694,0.6669716666666667,1.015145,63.32915649413091,10.082738245458097,0.0033705000000000002,0.4756031666666667,63.32856816196828,10.085709604583645,-0.3014345,1.006689,63.33058812467501,10.088051283092346,-1.576193,1.016358,63.333026633051084,10.082799551942177,-2.8836446666666666,1.0225456666666666,63.33262498963669,10.080068548611687,2.4596373333333332,1.0656161666666666
114,1.8718180656433105,63.32824749658893,10.083172165494943,0.6668413333333334,1.015061,63.32915725807464,10.082738245458097,0.0033740000000000003,0.4757593333333333,63.32856959436276,10.085708649653988,-0.30123133333333335,1.0066519999999999,63.33058812467501,10.08804794083854,-1.5761936666666667,1.0162661666666668,63.33302520065659,10.082798692505484,-2.882625,1.02245,63.3326238437211,10.080070553963969,2.452637,1.082703
115,1.9997870922088623,63.328248737997484,10.083174266340192,0.666711,1.014977,63.32915802201836,10.082738245458097,0.0033775000000000003,0.4759155,63.328571026757245,10.085707694724329,-0.30102816666666665,1.006615,63.33058812467501,10.088044598584736,-1.5761943333333333,1.0161743333333333,63.33302376826211,10.08279783306879,-2.8816053333333334,1.0223543333333334,63.332622793298476,10.080072463823287,2.4524541666666666,1.0659346666666667
