,time,asv_1,asv_2,asv_3,asv_4,asv_5,asv_6
103,0.0,"(63.328234414052616, 10.083149056197207)","(63.32914942765144, 10.082738245458097)","(63.328553838023396, 10.085719726838027)","(63.33058812467501, 10.08808527858819)","(63.33304152995376, 10.08280795532317)","(63.3326364487926, 10.080048972553685)"
104,0.09827399253845215,"(63.328235559968206, 10.083151157042456)","(63.32915019159516, 10.082738245458097)","(63.32855527041789, 10.085718771908368)","(63.33058812467501, 10.088081936334387)","(63.33304009755928, 10.082807191379445)","(63.33263530287701, 10.080050882413001)"
105,0.2690291404724121,"(63.328236705883796, 10.083153257887705)","(63.32915095553889, 10.082738245458097)","(63.32855670281238, 10.085717721485743)","(63.33058812467501, 10.088078594080581)","(63.333038665164786, 10.082806427435717)","(63.33263415696142, 10.080052792272319)"
106,0.49785399436950684,"(63.328237851799386, 10.083155358732952)","(63.32915171948262, 10.082738245458097)","(63.32855813520686, 10.08571667106312)","(63.33058812467501, 10.088075251826776)","(63.33303713727733, 10.082805567999024)","(63.332633011045836, 10.080054702131637)"
107,0.6933770179748535,"(63.328238997714976, 10.083157459578201)","(63.32915238793338, 10.082738245458097)","(63.328559567601346, 10.085715620640496)","(63.33058812467501, 10.088071909572971)","(63.333035609389874, 10.082804708562332)","(63.332631865130246, 10.080056611990953)"
108,0.871711015701294,"(63.328240143630566, 10.08315956042345)","(63.32915305638414, 10.082738245458097)","(63.32856099999584, 10.08571457021787)","(63.33058812467501, 10.088068471826201)","(63.33303408150242, 10.08280384912564)","(63.332630719214656, 10.08005852185027)"
109,0.9997260570526123,"(63.328241289546156, 10.083161661268699)","(63.3291537248349, 10.082738245458097)","(63.32856243239033, 10.085713519795245)","(63.33058812467501, 10.08806503407943)","(63.33303255361497, 10.082802989688947)","(63.332629573299066, 10.080060527202553)"
110,1.099290132522583,"(63.32824253095471, 10.083163762113948)","(63.32915439328566, 10.082738245458097)","(63.32856386478481, 10.085712469372622)","(63.33058812467501, 10.088061596332658)","(63.333031025727514, 10.082802130252254)","(63.33262842738347, 10.080062532554837)"
111,1.2692439556121826,"(63.328243772363265, 10.083165862959197)","(63.32915506173643, 10.082738245458097)","(63.328565297179296, 10.085711514442963)","(63.33058812467501, 10.088058158585888)","(63.33302949784006, 10.082801270815562)","(63.33262728146788, 10.08006453790712)"
112,1.4978480339050293,"(63.32824501377182, 10.083167963804446)","(63.32915573018719, 10.082738245458097)","(63.32856672957379, 10.085710559513304)","(63.33058812467501, 10.088054720839118)","(63.333028065445575, 10.08280041137887)","(63.33262613555229, 10.080066543259402)"
