,time,asv_1,asv_2
95,34.404335021972656,"(63.32972467727775, 10.079850824649537)","(63.33134500192237, 10.079856267748589)"
96,34.99960279464722,"(63.32972926094011, 10.079851111128432)","(63.33134041826001, 10.079856267748589)"
97,35.404353857040405,"(63.32973384460247, 10.079851111128432)","(63.33133583459765, 10.079856267748589)"
98,35.999419927597046,"(63.32973842826483, 10.079851111128432)","(63.33133125093529, 10.079856267748589)"
99,36.40427589416504,"(63.3297427254483, 10.079851111128432)","(63.33132666727293, 10.079856267748589)"
100,37.00073981285095,"(63.32974702263176, 10.079851111128432)","(63.33132208361057, 10.079856267748589)"
101,37.40416502952576,"(63.32975160629411, 10.079851111128432)","(63.331317499948206, 10.079856267748589)"
102,37.9999840259552,"(63.32975618995647, 10.079851111128432)","(63.33131320276475, 10.079856267748589)"
103,38.40435481071472,"(63.32976077361884, 10.079851111128432)","(63.33130890558128, 10.079856267748589)"
104,38.9993109703064,"(63.329765357281204, 10.079851111128432)","(63.33130432191892, 10.079856267748589)"
105,39.40420579910278,"(63.32976965446467, 10.07985139760733)","(63.33129973825656, 10.079856267748589)"
106,40.000316858291626,"(63.32977395164813, 10.079851684086227)","(63.3312951545942, 10.079856267748589)"
107,40.40435290336609,"(63.32977853531049, 10.079851684086227)","(63.331290570931834, 10.079856267748589)"
108,41.000706911087036,"(63.32978311897285, 10.079851684086227)","(63.331286273748375, 10.079856267748589)"
109,41.404321908950806,"(63.329787702635215, 10.079851684086227)","(63.33128197656491, 10.079856267748589)"
110,41.99972081184387,"(63.329792286297575, 10.079851684086227)","(63.33127739290255, 10.079855981269692)"
111,42.40440583229065,"(63.32979658348104, 10.079851684086227)","(63.33127280924019, 10.079855694790796)"
112,42.99918484687805,"(63.3298008806645, 10.079851684086227)","(63.33126822557783, 10.079855694790796)"
113,43.40442490577698,"(63.32980546432686, 10.079851970565127)","(63.33126364191547, 10.079855694790796)"
114,44.00070595741272,"(63.32981004798922, 10.079852257044024)","(63.33125905825311, 10.079855694790796)"
115,44.40417695045471,"(63.32981463165159, 10.079852257044024)","(63.33125447459074, 10.079855694790796)"
116,45.00076389312744,"(63.32981921531395, 10.079852257044024)","(63.331250177407284, 10.079855694790796)"
117,45.404160022735596,"(63.32982351249741, 10.079852257044024)","(63.33124588022382, 10.079855694790796)"
118,45.999348878860474,"(63.32982780968087, 10.079852257044024)","(63.33124129656146, 10.079855694790796)"
119,46.40434980392456,"(63.32983239334323, 10.079852257044024)","(63.3312367128991, 10.079855694790796)"
120,47.00072979927063,"(63.32983697700559, 10.079852257044024)","(63.33123212923674, 10.079855694790796)"
121,47.405104875564575,"(63.32984156066795, 10.079852257044024)","(63.33122754557437, 10.079855694790796)"
122,47.99956798553467,"(63.32984614433031, 10.079852257044024)","(63.33122324839091, 10.079855694790796)"
123,48.4041588306427,"(63.32985072799268, 10.079852543522922)","(63.33121895120745, 10.079855694790796)"
124,48.99940299987793,"(63.32985531165504, 10.079852830001819)","(63.33121436754509, 10.079855694790796)"
125,49.40421485900879,"(63.329859608838504, 10.079852830001819)","(63.33120978388273, 10.079855694790796)"
126,49.99943399429321,"(63.32986390602196, 10.079852830001819)","(63.33120520022037, 10.079855694790796)"
127,50.404366970062256,"(63.32986848968432, 10.079852830001819)","(63.331200616558, 10.079855694790796)"
128,50.999439001083374,"(63.32987307334668, 10.079852830001819)","(63.33119603289564, 10.079855694790796)"
129,51.40447998046875,"(63.32987765700905, 10.079852830001819)","(63.33119144923328, 10.079855694790796)"
130,51.99985885620117,"(63.32988224067141, 10.079852830001819)","(63.33118715204982, 10.079855408311898)"
131,52.40416979789734,"(63.329886537854875, 10.079852830001819)","(63.331182854866356, 10.079855121833)"
132,53.0002019405365,"(63.329890835038334, 10.079852830001819)","(63.331178271203996, 10.079855121833)"
133,53.404146909713745,"(63.329895418700694, 10.079853116480717)","(63.331173687541636, 10.079855121833)"
134,53.99976181983948,"(63.329900002363054, 10.079853402959614)","(63.331169103879276, 10.079855121833)"
135,54.404345989227295,"(63.32990458602542, 10.079853402959614)","(63.33116452021691, 10.079855121833)"
136,54.99937295913696,"(63.32990916968778, 10.079853402959614)","(63.33116022303345, 10.079855121833)"
137,55.40428280830383,"(63.32991346687125, 10.079853402959614)","(63.331155925849984, 10.079855121833)"
138,55.999393939971924,"(63.32991776405471, 10.079853402959614)","(63.331151342187624, 10.079855121833)"
139,56.40434384346008,"(63.32992234771707, 10.079853402959614)","(63.331146758525264, 10.079855121833)"
140,56.999358892440796,"(63.329926931379426, 10.079853402959614)","(63.331142174862904, 10.079855121833)"
141,57.40432381629944,"(63.329931515041785, 10.079853689438512)","(63.33113759120054, 10.079855121833)"
142,57.99939799308777,"(63.329936098704145, 10.079853975917409)","(63.33113358049597, 10.079855121833)"
143,58.40424990653992,"(63.32994039588762, 10.079853975917409)","(63.331129569791415, 10.079855121833)"
144,58.99950289726257,"(63.329944693071084, 10.079853975917409)","(63.33112527260795, 10.079854548875204)"
145,59.404276847839355,"(63.32994899025455, 10.079853975917409)","(63.331120975424476, 10.079853975917409)"
146,59.99945902824402,"(63.32995328743801, 10.079853975917409)","(63.331116391762116, 10.079853116480717)"
147,60.40433382987976,"(63.32995758462147, 10.079854548875204)","(63.331111808099756, 10.079852257044024)"
148,60.99945092201233,"(63.329961881804934, 10.079855121833)","(63.3311075109163, 10.079850824649537)"
149,61.40425896644592,"(63.3299661789884, 10.079855981269692)","(63.33110321373283, 10.07984939225505)"
150,61.99939179420471,"(63.32997047617186, 10.079856840706384)","(63.331098916549365, 10.079847673381664)"
151,62.40461182594299,"(63.32997477335532, 10.079857986621974)","(63.331094619365906, 10.079845954508277)"
152,62.99943494796753,"(63.32997907053878, 10.079859132537566)","(63.33109003570354, 10.079843949155993)"
153,63.404385805130005,"(63.32998336772225, 10.07986085141095)","(63.33108545204118, 10.07984194380371)"
154,64.00006484985352,"(63.32998766490571, 10.079862570284336)","(63.33108115485771, 10.07983965197253)"
155,64.40434098243713,"(63.32999196208917, 10.07986457563662)","(63.33107685767425, 10.079837360141351)"
156,64.9997148513794,"(63.32999625927263, 10.079866580988902)","(63.33107256049078, 10.079835068310171)"
157,65.40432095527649,"(63.330000842935, 10.079868586341185)","(63.33106826330732, 10.07983277647899)"
158,65.99979996681213,"(63.33000542659737, 10.079870591693469)","(63.33106367964497, 10.07983019816891)"
159,66.40434193611145,"(63.33000972378083, 10.079873170003546)","(63.33105909598261, 10.079827619858833)"
160,67.00070881843567,"(63.33001402096429, 10.079875748313624)","(63.331054798799144, 10.079825041548755)"
161,67.4043128490448,"(63.33001831814775, 10.079878040144806)","(63.331050501615685, 10.079822463238678)"
162,68.0004448890686,"(63.33002261533122, 10.079880331975986)","(63.33104620443222, 10.079820171407498)"
163,68.40434694290161,"(63.33002691251468, 10.079882910286063)","(63.33104190724875, 10.079817879576316)"
164,68.99946188926697,"(63.33003120969814, 10.079885488596142)","(63.331037323586386, 10.079815874224032)"
165,69.40411186218262,"(63.3300355068816, 10.079888353385117)","(63.33103273992403, 10.07981386887175)"
166,69.99937391281128,"(63.330039804065066, 10.079891218174092)","(63.33102844274056, 10.079811863519467)"
167,70.40415692329407,"(63.33004410124853, 10.079894082963069)","(63.3310241455571, 10.079809858167184)"
168,70.99952983856201,"(63.33004839843199, 10.079896947752044)","(63.33101956189474, 10.079807852814902)"
169,71.40410089492798,"(63.33005269561546, 10.079900099019916)","(63.33101497823238, 10.079805847462618)"
170,71.99941802024841,"(63.33005699279892, 10.07990325028779)","(63.33101068104892, 10.079804128589233)"
171,72.40435886383057,"(63.33006128998238, 10.079906401555665)","(63.33100638386546, 10.079802409715848)"
172,72.99944281578064,"(63.33006558716585, 10.079909552823537)","(63.3310018002031, 10.079800690842461)"
173,73.40435481071472,"(63.330069884349314, 10.079912990570307)","(63.33099721654073, 10.079798971969076)"
174,73.99990701675415,"(63.33007418153277, 10.079916428317079)","(63.33099291935727, 10.079797253095691)"
175,74.404305934906,"(63.33007847871623, 10.07991986606385)","(63.330988622173805, 10.079795534222306)"
176,74.99958682060242,"(63.3300827758997, 10.07992330381062)","(63.330984038511446, 10.079793815348921)"
177,75.40423893928528,"(63.33008678660426, 10.079926455078493)","(63.330979454849086, 10.079792096475536)"
