,time,asv_1,asv_2,asv_3
57,0.0,"(63.3294009561235, 10.080024144382563)","(63.330490339877976, 10.07745213684022)","(63.32983392123068, 10.080853978255844)"
58,0.2200632095336914,"(63.329403820912475, 10.080026436213743)","(63.330489384948315, 10.077458439375967)","(63.329836404047796, 10.080850349523141)"
59,0.47780609130859375,"(63.32940668570145, 10.080028728044924)","(63.330488430018654, 10.077464741911713)","(63.329838886864906, 10.080846911776371)"
60,1.0000121593475342,"(63.329409550490425, 10.080031019876104)","(63.330487475088994, 10.07747104444746)","(63.32984136968202, 10.0808434740296)"
61,1.220102071762085,"(63.3294124152794, 10.080033120721353)","(63.33048652015934, 10.077477346983207)","(63.32984385249913, 10.08084003628283)"
62,1.4811370372772217,"(63.329415280068375, 10.080035221566602)","(63.33048556522968, 10.077483649518953)","(63.32984652630218, 10.080836407550127)"
63,1.9999279975891113,"(63.32941814485735, 10.080037322411851)","(63.33048441931409, 10.077490143040631)","(63.329849200105215, 10.080832778817424)"
64,2.2203001976013184,"(63.329421009646325, 10.08003961424303)","(63.33048327339849, 10.077496636562309)","(63.32985187390826, 10.080829150084721)"
65,2.4777309894561768,"(63.3294238744353, 10.080041906074213)","(63.3304821274829, 10.077503130083986)","(63.32985435672538, 10.080825521352018)"
66,2.9999752044677734,"(63.329426739224274, 10.080044197905393)","(63.33048117255325, 10.077509432619733)","(63.32985683954249, 10.080821892619317)"
67,3.220069169998169,"(63.32942979499918, 10.080046298750641)","(63.33048021762359, 10.07751573515548)","(63.3298593223596, 10.080818263886615)"
68,3.4782140254974365,"(63.32943285077409, 10.08004839959589)","(63.330479262693935, 10.077522037691226)","(63.32986180517671, 10.080814826139843)"
69,3.9999661445617676,"(63.329435906548994, 10.08005050044114)","(63.33047830776428, 10.077528531212904)","(63.32986428799383, 10.080811388393073)"
70,4.220519065856934,"(63.329438771337976, 10.080052792272319)","(63.33047735283462, 10.077535024734583)","(63.32986677081094, 10.080807950646301)"
71,4.4777991771698,"(63.32944163612695, 10.080055084103499)","(63.33047639790497, 10.077541518256261)","(63.32986944461398, 10.080804321913599)"
72,5.000300168991089,"(63.32944450091593, 10.080057375934679)","(63.330475442975306, 10.077547820792008)","(63.32987211841702, 10.080800693180898)"
73,5.22036600112915,"(63.32944736570491, 10.080059476779928)","(63.33047448804564, 10.077554123327754)","(63.32987479222007, 10.080797064448195)"
74,5.477863073348999,"(63.32945023049388, 10.080061577625179)","(63.33047353311598, 10.077560425863501)","(63.329877275037184, 10.080793435715492)"
75,6.000169038772583,"(63.32945309528286, 10.080063678470427)","(63.330472578186324, 10.077566919385179)","(63.32987975785429, 10.080789806982791)"
76,6.220048189163208,"(63.32945596007183, 10.080065779315676)","(63.33047162325666, 10.077573412906856)","(63.32988224067141, 10.080786178250088)"
77,6.477658033370972,"(63.32945882486081, 10.080067880160925)","(63.33047066832701, 10.077579906428534)","(63.32988472348852, 10.080782740503317)"
78,7.000099182128906,"(63.32946168964978, 10.080069981006174)","(63.33046971339735, 10.07758620896428)","(63.32988720630563, 10.080779302756547)"
79,7.220057010650635,"(63.32946455443876, 10.080072272837354)","(63.33046875846769, 10.077592511500027)","(63.32988968912274, 10.080775865009775)"
80,7.477846145629883,"(63.32946741922773, 10.080074564668536)","(63.33046780353803, 10.077598814035774)","(63.32989217193985, 10.080772236277072)"
81,8.000017166137695,"(63.32947028401671, 10.080076856499716)","(63.33046684860837, 10.077605307557452)","(63.32989465475697, 10.080768607544371)"
82,8.220283031463623,"(63.32947314880568, 10.080078957344965)","(63.33046589367871, 10.077611801079131)","(63.329897137574086, 10.080764978811668)"
