,time, system, entity , mmsi, msg_in, msg_out,iter_time
0,1709674289.416728, caravela,7,111,9,3,
1,1709674294.513898, caravela,7,111,32,5,5.097169876098633
2,1709674300.76394, caravela,7,111,36,9,6.250042200088501
3,1709674304.864296, caravela,7,111,22,5,4.100355863571167
4,1709674310.964353, caravela,7,111,31,7,6.100057125091553
5,1709674318.814568, caravela,7,111,38,9,7.850214958190918
6,1709674324.963933, caravela,7,111,33,9,6.149364948272705
7,1709674331.165223, caravela,7,111,37,9,6.201289892196655
8,1709674335.313899, caravela,7,111,26,4,4.148676156997681
9,1709674339.413709, caravela,7,111,21,5,4.099809885025024
10,1709674344.514236, caravela,7,111,32,5,5.100527048110962
11,1709674350.717043, caravela,7,111,32,7,6.2028069496154785
12,1709674363.213984, caravela,7,111,75,12,12.496941089630127
13,1709674367.3137, caravela,7,111,26,4,4.099715948104858
14,1709674372.413804, caravela,7,111,25,5,5.100104093551636
15,1709674376.464141, caravela,7,111,23,4,4.050336837768555
16,1709674379.614305, caravela,7,111,15,3,3.1501641273498535
17,1709674382.713907, caravela,7,111,15,3,3.099601984024048
18,1709674385.813834, caravela,7,111,18,3,3.0999269485473633
19,1709674388.863796, caravela,7,111,18,3,3.049962043762207
20,1709674395.06414, caravela,7,111,36,9,6.200344085693359
21,1709674400.263803, caravela,7,111,25,6,5.199662923812866
22,1709674404.364191, caravela,7,111,23,4,4.100388050079346
23,1709674408.464934, caravela,7,111,20,5,4.100743055343628
24,1709674413.613887, caravela,7,111,25,5,5.148952960968018
25,1709674421.864512, caravela,7,111,40,10,8.250624895095825
26,1709674427.014074, caravela,7,111,19,5,5.149562120437622
27,1709674431.063924, caravela,7,111,17,4,4.049849987030029
28,1709674436.166481, caravela,7,111,28,7,5.102556943893433
29,1709674440.264049, caravela,7,111,20,4,4.097568035125732
30,1709674444.413821, caravela,7,111,16,5,4.1497719287872314
31,1709674451.56519, caravela,7,111,21,9,7.151369094848633
32,1709674456.763895, caravela,7,111,15,6,5.198704957962036
33,1709674465.965493, caravela,7,111,27,9,9.201597929000854
34,1709674592.615925, caravela,7,111,7,3,126.65043210983276
35,1709674595.764072, caravela,7,111,3,3,3.148146867752075
36,1709674600.913835, caravela,7,111,5,5,5.149763107299805
37,1709674604.013831, caravela,7,111,3,3,3.0999958515167236
38,1709674610.116128, caravela,7,111,6,6,6.102297067642212
39,1709674613.2142, caravela,7,111,3,3,3.098072052001953
40,1709674616.265425, caravela,7,111,3,3,3.051224946975708
41,1709674620.413908, caravela,7,111,4,4,4.148483037948608
42,1709674623.563739, caravela,7,111,3,3,3.1498310565948486
43,1709674626.663682, caravela,7,111,3,3,3.099942922592163
0,1709674286.407822, caravela-2,7,112,7,3,
1,1709674292.609313, caravela-2,7,112,27,8,6.201491117477417
2,1709674298.807889, caravela-2,7,112,29,6,6.198575973510742
3,1709674304.007683, caravela-2,7,112,21,5,5.199794054031372
4,1709674309.11033, caravela-2,7,112,21,7,5.102647066116333
5,1709674313.2576, caravela-2,7,112,16,5,4.14726996421814
6,1709674316.358159, caravela-2,7,112,12,3,3.1005589962005615
7,1709674322.507546, caravela-2,7,112,29,9,6.149386882781982
8,1709674328.75948, caravela-2,7,112,27,6,6.251934051513672
9,1709674332.907553, caravela-2,7,112,20,4,4.148072957992554
10,1709674338.007657, caravela-2,7,112,23,5,5.100104093551636
11,1709674346.257651, caravela-2,7,112,38,13,8.249994039535522
12,1709674349.307829, caravela-2,7,112,12,3,3.050177812576294
13,1709674357.507668, caravela-2,7,112,36,8,8.199839115142822
14,1709674361.609118, caravela-2,7,112,22,4,4.101449966430664
15,1709674364.757504, caravela-2,7,112,14,3,3.148386001586914
16,1709674369.857978, caravela-2,7,112,22,5,5.100474119186401
17,1709674376.058065, caravela-2,7,112,26,7,6.200086832046509
18,1709674380.209647, caravela-2,7,112,16,4,4.1515820026397705
19,1709674387.359379, caravela-2,7,112,32,9,7.1497321128845215
20,1709674394.607498, caravela-2,7,112,30,8,7.248118877410889
21,1709674398.707924, caravela-2,7,112,18,4,4.100425958633423
22,1709674403.857827, caravela-2,7,112,20,6,5.149903059005737
23,1709674409.008475, caravela-2,7,112,20,7,5.15064811706543
24,1709674412.157655, caravela-2,7,112,12,3,3.1491799354553223
25,1709674415.209589, caravela-2,7,112,12,3,3.051934003829956
26,1709674421.407638, caravela-2,7,112,24,7,6.198049068450928
27,1709674426.45963, caravela-2,7,112,20,7,5.051991939544678
28,1709674430.5576, caravela-2,7,112,19,5,4.097970008850098
29,1709674434.657502, caravela-2,7,112,16,4,4.099901914596558
30,1709674437.707541, caravela-2,7,112,12,3,3.050039052963257
31,1709674442.808829, caravela-2,7,112,14,5,5.101288080215454
32,1709674450.05755, caravela-2,7,112,14,7,7.24872088432312
33,1709674455.208827, caravela-2,7,112,10,5,5.1512770652771
34,1709674458.35752, caravela-2,7,112,6,3,3.148693084716797
35,1709674463.557561, caravela-2,7,112,10,5,5.200040817260742
0,1709674283.212966, caravela-3,7,113,6,3,
1,1709674290.113155, caravela-3,7,113,25,6,6.90018892288208
2,1709674296.267091, caravela-3,7,113,22,6,6.153936147689819
3,1709674300.362899, caravela-3,7,113,14,4,4.095808029174805
4,1709674306.563111, caravela-3,7,113,19,6,6.200212001800537
5,1709674310.712894, caravela-3,7,113,12,4,4.14978289604187
6,1709674313.86315, caravela-3,7,113,9,3,3.1502559185028076
7,1709674320.112942, caravela-3,7,113,21,6,6.249792098999023
8,1709674326.312955, caravela-3,7,113,23,6,6.200012922286987
9,1709674330.412811, caravela-3,7,113,16,4,4.09985613822937
10,1709674334.513181, caravela-3,7,113,15,5,4.100369930267334
11,1709674342.716956, caravela-3,7,113,30,8,8.20377492904663
12,1709674345.813274, caravela-3,7,113,9,3,3.096318006515503
13,1709674354.013095, caravela-3,7,113,26,13,8.19982099533081
