,time,cog_1,sog_1,cog_2,sog_2,cog_3,sog_3,x_1,y_1,x_2,y_2,x_3,y_3
68,0.0,0.616629,0.997526,2.038077,1.0083543333333334,-0.4929223333333333,1.004429,-137.29404292247273,1.886099292557012,-22.165252475994006,-117.4866473783054,-91.1616300352988,43.66081971303376
69,0.2520170211791992,0.627884,0.9949333333333333,2.037271,1.0082716666666667,-0.493046,1.004375,-137.01729102215305,2.0774631057306263,-22.314272730884973,-117.19003346785045,-90.86358952693497,43.507728662399266
70,0.5017380714416504,0.639139,0.9923406666666666,2.036465,1.008189,-0.49316066666666664,1.004323,-136.74053912183336,2.2688269189839123,-22.46329298435783,-116.8934195573955,-90.56554901857115,43.34506942118974
71,0.9996941089630127,0.650394,0.989748,2.035899,1.008102,-0.49327533333333334,1.004271,-136.4637872215137,2.4601907321575265,-22.61231323783069,-116.58723745628585,-90.26750851020734,43.18241017998022
72,1.250797986984253,0.6638426666666667,0.9908286666666667,2.035333,1.0080149999999999,-0.49339,1.004219,-136.2083239292382,2.6611227360655096,-22.761333492721654,-116.28105535517619,-89.96946800326161,43.01975093877069
73,1.5017800331115723,0.6772913333333334,0.9919093333333333,2.034767,1.007928,-0.4934766666666667,1.004175,-135.95286063696267,2.8620547398938214,-22.910353746194513,-115.97487325406654,-89.69271610152383,42.86665988821587
74,2.000046968460083,0.69074,0.99299,2.0344053333333334,1.0078786666666666,-0.4935633333333333,1.0041309999999999,-135.69739734468715,3.062986743801804,-23.059373999667372,-115.67825934361159,-89.41596420262226,42.71356883766104
75,2.250786066055298,0.7038383333333333,0.9997833333333334,2.034043666666667,1.0078293333333332,-0.49365,1.004087,-135.44193405241163,3.2830551289395102,-23.20839425455834,-115.38164543307697,-89.1392123023026,42.560477787106215
76,2.502648115158081,0.7169366666666667,1.0065766666666667,2.033682,1.00778,-0.493712,1.004045,-135.1864707601361,3.5031235140772163,-23.357414508031198,-115.085031522622,-88.84117179393877,42.39781854589669
77,3.0000030994415283,0.730035,1.01337,2.032997,1.0076213333333333,-0.493774,1.004003,-134.9310074678606,3.723191899214922,-23.506434761504057,-114.78841761224672,-88.54313128699306,42.2351593046075
78,3.2527060508728027,0.7401456666666667,1.0178213333333335,2.032312,1.0074626666666666,-0.493836,1.003961,-134.69683278221112,3.9528284750869966,-23.655455014976916,-114.49180370179177,-88.24509078004733,42.072500063397975
79,3.502082109451294,0.7502563333333333,1.0222726666666666,2.031627,1.007304,-0.493876,1.0039120000000001,-134.46265809797976,4.1824650508794,-23.804475268449774,-114.19518979133682,-87.94705027168351,41.90984082218846
80,3.999688148498535,0.760367,1.026724,2.030663333333333,1.007237,-0.493916,1.003863,-134.2284834137484,4.4121016267514745,-23.953495521922633,-113.88900769022716,-87.6490097647378,41.74718158097893
81,4.253833055496216,0.7719673333333333,1.0145593333333334,2.0296996666666667,1.0071700000000001,-0.493956,1.003814,-133.99430872809893,4.641738202623548,-24.1025157768136,-113.5828255891175,-87.35096925637397,41.58452233976941
82,4.501774072647095,0.7835676666666667,1.0023946666666668,2.028736,1.007103,-0.49399166666666666,1.003771,-133.76013404386757,4.87137477833628,-24.25153603028646,-113.27664348800786,-87.05292874801015,41.43143128921458
83,4.99976110458374,0.795168,0.99023,2.0279233333333333,1.0070356666666667,-0.4940273333333333,1.003728,-133.5259593596362,5.101011354208355,-24.400556283759318,-112.9800295775529,-86.75488823964632,41.278340238739425
84,5.250838041305542,0.808689,0.9907076666666667,2.0271106666666667,1.0069683333333335,-0.494063,1.003685,-133.2917846739867,5.340216120735127,-24.54957653865028,-112.68341566709795,-86.45684773270061,41.12524918810493
85,5.501784086227417,0.82221,0.9911853333333334,2.026298,1.006901,-0.494091,1.0036473333333333,-133.05760999117348,5.579420887182227,-24.69859679212314,-112.386801756643,-86.15880722433678,40.962589946895406
86,5.999583005905151,0.835731,0.991663,2.025726,1.0068283333333334,-0.494119,1.0036096666666665,-132.823435305524,5.818625653708998,-24.847617045596,-112.08061965553334,-85.86076671739106,40.79993070568588
87,6.2522571086883545,0.849576,0.9958486666666666,2.025154,1.0067556666666666,-0.494147,1.003572,-132.61054922791868,6.076966801545164,-24.996637300486967,-111.7744375544237,-85.56272620902723,40.63727146447636
88,6.502457141876221,0.863421,1.0000343333333332,2.024582,1.006683,-0.494167,1.0035413333333332,-132.39766315173148,6.335307949301659,-25.145657553959825,-111.46825545331404,-85.26468570066342,40.484180413921536
89,6.999696969985962,0.877266,1.00422,2.024195,1.0066106666666668,-0.494187,1.0035106666666667,-132.18477707412615,6.593649097137825,-25.294677807432684,-111.17164154285909,-84.9666451922996,40.33108936336671
90,7.250813007354736,0.8892056666666667,1.0083119999999999,2.023808,1.0065383333333333,-0.494207,1.00348,-131.97189099652084,6.85199024497399,-25.443698062323648,-110.87502763232446,-84.66860468535387,40.17799831281188
91,7.501729965209961,0.9011453333333334,1.012404,2.023421,1.006466,-0.494384,1.0034286666666665,-131.7590049203336,7.110331392730485,-25.592718315796507,-110.57841372186951,-84.3918527850342,40.01533907160236
92,7.999835014343262,0.913085,1.016496,2.0231603333333332,1.006393,-0.49456100000000003,1.0033773333333333,-131.5461188427283,7.368672540566651,-25.741738569269366,-110.27223162083952,-84.11510088613264,39.85267983039284
93,8.251119136810303,0.92168,1.0295436666666666,2.0228996666666665,1.0063199999999999,-0.494738,1.003326,-131.33323276512297,7.636581878977843,-25.890758824160333,-109.9660495196502,-83.83834898581297,39.69002058918331
